Galaxy,Subsample,Filter,z,t_L (Gyr),λ rf (μm),M rf,M F814W,N arms,R_25 (kpc),D/T,B/T,Bar/T,R/T,S/T,Disc h (kpc),Disc h err,Disc I_0 (μJy/sq.arcsec),Disc I_0 err,Bulge r_e (kpc),Bulge r_e err,Bulge I_e (μJy/sq.arcsec),Bulge I_e err,Bulge n,Bulge n err,Bar r_e (kpc),Bar r_e err,Bar I_e (μJy/sq.arcsec),Bar I_e err,Bar n,Bar n err,μ (deg),μ std,Δμ (deg),Δμ std,l_ψ (deg),l_ψ std,w (kpc),w std,r_end (kpc),r_end err,h_s (kpc),h_s std,W_i,W_i std,S,S std,A_sp
g1,COSMOS,F814W,0.376,4.08,0.586,-21.0,-21.44,2,14.871,0.573,0.056,0.0,0.0,0.371,3.332,0.049,17.6,0.8,0.991,0.042,17.3,1.1,0.65,0.07,,,,,,,10.8,3.3,-9.4,17.9,415.9,36.3,1.693,0.248,12821.007,0.0,6.955,3.829,1.76,0.66,0.18,0.19,0.257
g2,COSMOS,F814W,0.367,4.01,0.59,-21.32,-22.13,4,9.448,0.501,0.39,0.0,0.0,0.11,1.55,0.085,95.4,37.3,1.347,0.234,48.0,2.1,1.19,0.1,,,,,,,23.4,7.1,-19.9,27.9,143.8,46.9,0.785,0.033,5031.255,480.846,1.614,0.023,1.15,0.14,0.06,0.01,0.749
g4,COSMOS,F814W,0.381,4.13,0.584,-21.86,-22.46,4,16.122,0.511,0.079,0.0,0.0,0.41,3.053,0.034,41.3,2.5,1.279,0.366,12.8,5.2,2.45,0.43,,,,,,,17.4,4.1,-13.6,22.8,205.3,44.1,2.555,0.648,16232.757,0.0,5.755,4.764,3.94,5.59,-0.05,0.38,0.291
g5,COSMOS,F814W,0.376,4.09,0.586,-20.59,-20.95,2,9.071,0.747,0.027,0.0,0.0,0.226,1.773,0.013,61.0,1.1,0.35,0.034,29.9,6.3,0.77,0.3,,,,,,,21.2,3.6,-7.0,0.9,185.6,23.7,0.996,0.052,7816.588,0.0,11.001,8.025,2.1,1.06,-0.1,0.43,0.452
g7,COSMOS,F814W,0.31,3.51,0.615,-21.48,-22.28,2,14.334,0.294,0.207,0.418,0.0,0.082,3.864,0.063,11.4,0.6,0.448,0.01,289.6,7.5,1.19,0.04,2.185,0.037,41.2,1.5,1.06,0.04,6.4,0.3,-17.5,9.8,235.7,33.4,2.952,0.189,8809.332,424.198,1.962,0.733,7.58,6.99,-0.1,0.07,0.374
g8,COSMOS,F814W,0.268,3.12,0.636,-21.41,-21.91,2,14.953,0.462,0.053,0.221,0.0,0.265,3.859,0.049,16.8,0.8,0.488,0.026,63.0,4.4,1.06,0.09,2.907,0.067,14.7,0.5,0.55,0.03,15.2,1.5,6.6,5.8,243.8,5.4,1.567,0.015,9859.575,0.0,1.926,0.378,1.09,0.19,0.07,0.19,0.205
g9,COSMOS,F814W,0.93,7.42,0.418,-22.35,-23.07,3,24.545,0.516,0.244,0.0,0.0,0.24,4.644,0.078,30.9,1.6,0.525,0.06,255.9,60.1,5.15,0.73,,,,,,,20.9,7.7,-36.3,25.6,200.7,31.4,2.213,0.608,12733.876,407.153,14.397,5.825,4.38,6.86,-0.04,0.24,0.447
g11,COSMOS,F814W,0.31,3.51,0.615,-21.2,-21.68,2,15.457,0.527,0.039,0.054,0.0,0.38,3.116,0.042,24.6,0.5,0.756,0.02,28.4,1.3,0.56,0.05,2.628,0.0,6.4,0.2,0.25,0.0,11.0,3.0,-10.4,26.2,314.2,15.2,3.098,0.051,12295.202,257.599,6.232,1.889,1.0,0.0,0.0,0.0,0.338
g12,COSMOS,F814W,0.249,2.93,0.645,-21.86,-22.59,2,14.006,0.357,0.056,0.328,0.0,0.259,2.831,0.016,40.1,0.8,0.182,0.004,913.6,33.7,0.78,0.06,2.085,0.01,103.1,0.6,0.5,0.01,15.7,3.9,-25.5,41.7,225.7,30.8,2.249,0.127,8278.354,156.924,4.474,0.765,1.18,0.04,0.25,0.31,0.179
g13,COSMOS,F814W,0.274,3.17,0.633,-20.37,-20.69,3,8.831,0.716,0.032,0.124,0.0,0.128,1.444,0.013,74.6,1.6,0.298,0.02,83.2,9.9,0.31,0.14,1.52,0.063,11.9,0.9,1.27,0.12,15.6,3.5,-20.8,27.6,227.9,33.2,1.341,0.096,16087.044,2366.653,1.527,0.373,1.58,1.13,0.2,0.24,0.355
g14,COSMOS,F814W,0.897,7.28,0.425,-22.2,-22.82,3,25.647,0.692,0.121,0.0,0.0,0.188,6.067,0.088,20.0,0.6,1.372,0.056,44.7,3.4,1.01,0.09,,,,,,,16.3,2.7,-4.1,19.1,331.8,107.9,1.47,0.294,15640.487,960.058,13.688,7.074,4.54,1.28,0.36,0.09,0.602
g15,COSMOS,F814W,0.982,7.64,0.407,-21.15,-21.62,2,13.287,0.646,0.204,0.0,0.0,0.151,2.744,0.08,34.6,2.4,0.974,0.044,53.1,3.6,0.66,0.09,,,,,,,8.9,3.8,-33.7,7.3,186.4,35.7,0.848,0.069,6679.099,786.198,2.615,0.07,4.57,4.04,0.33,0.09,0.961
g16,COSMOS,F814W,0.28,3.23,0.63,-20.75,-21.3,2,12.797,0.739,0.136,0.0,0.0,0.126,1.669,0.007,80.2,0.9,0.33,0.006,199.5,4.9,1.0,0.0,,,,,,,13.8,5.0,-1.4,2.8,376.6,39.4,0.91,0.301,10530.814,168.595,5.25,0.006,6.4,1.18,0.15,0.19,0.599
g17,COSMOS,F814W,0.316,3.56,0.612,-21.85,-22.53,2,15.713,0.504,0.071,0.239,0.0,0.186,3.233,0.012,39.5,0.5,0.398,0.009,257.7,11.1,1.15,0.07,2.399,0.02,68.0,0.7,0.53,0.01,14.2,0.1,-35.3,10.3,204.0,4.0,2.305,0.696,8582.032,0.0,3.341,0.282,4.12,2.62,-0.24,0.16,0.349
g18,COSMOS,F814W,0.69,6.25,0.477,-22.39,-23.02,2,22.743,0.591,0.137,0.0,0.0,0.272,4.173,0.036,45.7,1.3,1.212,0.094,61.1,8.7,2.76,0.23,,,,,,,14.0,4.5,-29.2,8.0,246.8,20.7,2.957,0.885,12172.416,327.591,4.017,1.034,6.28,6.05,0.25,0.07,0.571
g19,COSMOS,F814W,0.352,3.88,0.596,-22.3,-22.99,2,22.388,0.625,0.095,0.02,0.0,0.26,4.607,0.019,34.4,0.4,1.207,0.019,62.8,1.8,0.66,0.04,0.318,0.013,305.5,25.3,0.45,0.12,15.8,0.7,-26.4,9.3,392.6,25.2,2.942,0.149,15587.349,143.59,5.945,0.572,0.66,0.2,0.28,0.3,0.255
g20,COSMOS,F814W,0.303,3.44,0.619,-20.99,-21.43,5,15.353,0.796,0.057,0.0,0.0,0.147,3.497,0.024,23.5,0.4,0.958,0.082,10.2,1.3,1.39,0.15,,,,,,,23.8,1.9,-13.1,28.6,145.4,57.8,1.394,0.289,11926.332,251.952,19.588,14.437,4.97,2.19,0.14,0.27,0.727
g21,COSMOS,F814W,0.844,7.04,0.437,-22.34,-22.96,2,21.688,0.402,0.265,0.196,0.0,0.137,4.167,0.06,40.0,1.4,0.267,0.008,2714.0,133.0,0.83,0.1,2.604,0.045,64.1,2.1,0.3,0.03,19.5,4.5,-58.0,8.1,176.5,40.6,1.529,0.084,8292.06,380.849,2.972,0.416,4.01,1.31,-0.22,0.21,0.751
g22,COSMOS,F814W,0.233,2.77,0.654,-22.35,-22.89,6,19.872,0.623,0.062,0.034,0.0,0.281,3.92,0.008,47.7,0.3,0.341,0.007,325.3,11.1,1.26,0.05,1.627,0.031,27.0,1.2,0.32,0.02,14.6,7.3,-0.8,20.6,250.6,105.6,1.92,0.717,12273.124,320.343,11.714,7.464,4.6,2.72,0.04,0.17,0.303
g23,COSMOS,F814W,0.687,6.23,0.478,-21.43,-21.96,2,18.157,0.839,0.013,0.0,0.0,0.148,3.826,0.037,29.0,0.6,1.43,0.326,3.3,0.9,1.0,0.0,,,,,,,15.1,1.4,3.0,1.7,158.8,36.3,1.633,0.431,11343.68,616.144,2.536,0.362,0.59,0.2,0.46,0.04,0.937
g26,COSMOS,F814W,0.2,2.43,0.672,-21.98,-22.28,2,16.377,0.564,0.093,0.0,0.0,0.343,3.038,0.009,59.2,0.6,1.003,0.008,59.9,0.7,0.52,0.01,,,,,,,14.5,2.2,-2.3,3.8,441.2,110.7,1.729,0.253,10474.006,44.378,3.417,0.39,1.93,0.28,-0.29,0.04,0.512
g27,COSMOS,F814W,0.369,4.03,0.589,-21.38,-22.18,2,12.017,0.362,0.135,0.42,0.0,0.083,2.892,0.031,21.0,0.6,0.536,0.026,106.3,7.7,1.56,0.11,2.952,0.049,27.0,1.0,1.08,0.03,6.8,2.3,-13.1,34.9,155.5,18.8,2.083,0.013,7264.376,0.0,9.804,7.605,0.79,0.25,-0.25,0.25,0.575
g29,COSMOS,F814W,0.801,6.83,0.448,-21.96,-22.59,3,20.226,0.562,0.087,0.0,0.0,0.352,3.845,0.055,33.3,1.9,1.505,0.609,12.2,8.5,3.63,1.01,,,,,,,16.9,1.9,-13.6,30.2,213.0,40.7,2.1,1.192,13348.46,0.0,16.255,8.043,3.38,2.94,-0.16,0.14,0.721
g31,COSMOS,F814W,0.232,2.76,0.654,-20.98,-21.44,2,8.698,0.494,0.332,0.0,0.0,0.174,1.371,0.007,97.1,1.8,0.397,0.003,419.7,4.6,1.0,0.0,,,,,,,12.3,2.9,-23.4,21.0,273.5,15.7,1.203,0.0,5211.64,0.0,1.043,0.565,4.51,2.94,0.38,0.1,0.303
g32,COSMOS,F814W,0.231,2.75,0.655,-22.2,-22.77,4,14.032,0.303,0.449,0.0,0.0,0.247,2.792,0.015,40.2,1.3,1.478,0.035,78.4,2.8,2.42,0.04,,,,,,,15.6,4.5,-44.8,11.2,187.4,32.4,1.403,0.288,6984.232,127.38,1.645,0.795,1.11,0.41,-0.14,0.24,0.407
g35,COSMOS,F814W,0.491,4.98,0.541,-21.98,-22.36,2,17.972,0.73,0.015,0.0,0.0,0.254,3.738,0.025,48.6,0.7,0.341,0.029,58.4,11.2,1.01,0.33,,,,,,,16.0,10.1,19.3,9.3,207.5,24.8,2.444,0.208,12736.541,308.229,37.488,1.39,1.42,0.82,0.29,0.24,0.393
g36,COSMOS,F814W,0.318,3.58,0.612,-22.32,-22.95,2,19.957,0.311,0.378,0.0,0.0,0.311,4.299,0.044,20.9,0.7,2.796,0.096,18.1,1.0,3.84,0.07,,,,,,,13.9,1.2,-17.1,20.2,303.1,9.5,3.035,0.494,11964.634,152.868,2.758,0.445,7.54,4.93,-0.28,0.26,0.338
g37,COSMOS,F814W,0.299,3.41,0.62,-19.57,-19.94,2,9.626,0.503,0.038,0.194,0.0,0.265,2.708,0.058,7.3,0.4,0.281,0.022,27.2,4.6,0.66,0.23,1.543,0.063,8.1,0.6,1.02,0.11,10.2,3.6,0.4,27.8,226.8,48.9,2.687,0.162,6880.678,768.725,18.51,13.263,1.07,0.73,0.17,0.38,0.222
g38,COSMOS,F814W,0.371,4.04,0.588,-20.86,-21.24,2,10.839,0.629,0.0,0.0,0.0,0.371,2.089,0.012,47.9,0.6,,,,,,,,,,,,,19.4,0.5,-38.1,16.4,249.3,56.1,1.513,0.315,5982.086,139.263,13.734,9.678,5.77,4.37,-0.02,0.32,0.428
g39,COSMOS,F814W,0.223,2.67,0.659,-21.15,-21.6,2,11.714,0.332,0.336,0.0,0.0,0.332,2.121,0.028,34.7,1.7,1.722,0.046,14.6,0.7,3.52,0.09,,,,,,,13.0,2.9,-26.6,8.2,284.0,40.2,1.566,0.247,4853.828,0.0,11.105,8.041,4.37,2.76,-0.21,0.09,0.221
g43,COSMOS,F814W,0.424,4.47,0.566,-21.94,-22.72,3,16.244,0.447,0.069,0.244,0.0,0.24,3.252,0.037,39.1,1.1,0.379,0.02,218.9,19.6,1.27,0.14,2.686,0.042,32.8,1.0,0.66,0.03,19.5,9.6,-46.0,13.2,160.6,28.6,2.262,0.768,10689.278,210.095,4.979,1.654,1.76,1.0,-0.07,0.19,0.424
g44,COSMOS,F814W,0.312,3.53,0.614,-22.67,-23.43,3,25.716,0.542,0.175,0.0,0.0,0.282,4.937,0.031,40.5,1.2,1.758,0.081,43.7,3.0,2.52,0.08,,,,,,,12.7,1.3,-33.0,18.0,274.5,25.4,3.973,0.674,16770.039,414.239,7.878,0.884,2.18,1.04,-0.07,0.17,0.259
g46,COSMOS,F814W,0.228,2.72,0.656,-21.24,-21.57,3,18.042,0.825,0.046,0.0,0.0,0.128,4.139,0.019,25.1,0.3,0.669,0.045,24.9,2.4,1.17,0.11,,,,,,,18.8,6.9,-1.0,24.4,302.5,27.2,1.826,0.46,10728.719,0.0,18.775,10.44,1.29,0.75,0.01,0.12,0.377
g47,COSMOS,F814W,0.314,3.55,0.613,-21.54,-22.08,2,14.459,0.681,0.058,0.095,0.0,0.165,2.904,0.012,45.1,0.5,0.423,0.022,95.7,5.3,1.13,0.09,2.714,0.099,9.7,0.7,1.27,0.1,3.2,0.2,-12.2,28.8,346.3,16.9,2.36,0.681,6200.685,0.0,1.722,0.987,2.33,0.14,0.33,0.25,0.532
g49,COSMOS,F814W,0.279,3.22,0.63,-21.25,-21.71,3,11.3,0.647,0.045,0.0,0.0,0.308,1.912,0.009,89.3,1.3,0.418,0.017,75.1,5.4,1.0,0.1,,,,,,,20.1,5.7,0.5,9.4,270.1,78.2,1.411,0.512,7959.526,0.0,4.178,2.047,5.69,6.95,0.25,0.31,0.468
g50,COSMOS,F814W,0.733,6.48,0.465,-21.83,-22.58,4,18.505,0.642,0.126,0.0,0.057,0.174,3.527,0.058,42.0,1.9,0.641,0.023,146.3,9.6,1.03,0.1,,,,,,,15.8,5.6,12.5,17.0,150.1,58.4,2.025,0.328,16082.339,941.515,4.033,0.183,2.09,0.85,0.05,0.06,0.618
g51,COSMOS,F814W,0.462,4.76,0.551,-20.92,-21.28,2,13.467,0.776,0.014,0.0,0.0,0.21,2.254,0.013,54.1,0.6,1.017,0.0,4.4,0.0,1.0,0.0,,,,,,,17.2,2.6,-20.0,4.5,191.4,30.4,1.548,0.082,8907.338,320.403,6.304,3.036,2.32,1.16,0.13,0.27,0.679
g53,COSMOS,F814W,0.172,2.13,0.688,-21.88,-22.4,5,18.051,0.303,0.141,0.106,0.0,0.451,5.938,0.046,6.6,0.1,1.137,0.032,52.0,3.6,1.36,0.03,2.101,0.079,17.4,1.8,1.14,0.07,14.3,4.7,16.9,23.3,335.9,110.8,3.212,0.281,16314.074,152.99,3.247,0.75,4.38,3.06,-0.25,0.3,0.161
g56,COSMOS,F814W,0.14,1.78,0.707,-20.55,-21.04,2,8.999,0.487,0.181,0.259,0.0,0.073,1.894,0.007,33.2,0.3,0.152,0.006,995.5,57.9,1.63,0.09,0.98,0.015,76.2,3.0,0.65,0.02,30.1,12.7,20.5,13.2,111.0,10.3,1.032,0.434,3978.231,0.0,0.859,0.088,5.79,3.64,-0.01,0.04,0.599
g57,COSMOS,F814W,0.358,3.93,0.594,-22.02,-22.6,5,18.907,0.607,0.031,0.0,0.0,0.361,3.353,0.022,51.4,0.5,0.409,0.015,85.6,6.1,1.33,0.13,,,,,,,14.0,4.1,-11.5,21.0,207.3,67.5,2.04,0.27,17767.805,0.0,10.078,6.382,3.36,1.77,-0.03,0.26,0.381
g59,COSMOS,F814W,0.269,3.13,0.635,-21.39,-21.8,2,15.864,0.409,0.078,0.103,0.0,0.41,4.528,0.05,11.1,0.4,0.383,0.009,195.0,8.7,1.06,0.07,1.74,0.025,29.5,0.8,0.25,0.0,9.6,0.6,5.6,4.5,399.5,26.4,3.132,0.0,7914.178,142.948,3.973,0.68,0.58,0.08,-0.45,0.04,0.169
g60,COSMOS,F814W,0.247,2.91,0.646,-21.39,-21.68,3,15.901,0.51,0.26,0.0,0.0,0.231,2.95,0.013,30.2,0.5,3.488,0.0,3.8,0.1,3.35,0.07,,,,,,,9.9,5.6,-26.2,13.9,311.4,119.4,2.252,0.448,12135.862,364.119,13.701,6.864,3.3,2.02,-0.31,0.09,0.444
g62,COSMOS,F814W,0.517,5.16,0.531,-21.47,-21.92,3,14.981,0.612,0.0,0.0,0.0,0.388,2.603,0.02,60.0,0.8,,,,,,,,,,,,,14.5,3.2,-10.0,11.5,226.7,75.6,2.463,0.377,10876.683,0.0,2.176,0.307,3.69,4.4,-0.14,0.24,0.453
g63,COSMOS,F814W,0.683,6.2,0.479,-22.91,-23.44,2,23.073,0.284,0.208,0.0,0.225,0.283,4.557,0.099,32.4,2.1,0.846,0.019,302.2,12.3,1.37,0.06,,,,,,,13.6,5.5,-37.3,1.9,252.4,61.4,4.453,0.0,17182.75,0.0,3.572,0.239,2.23,0.51,-0.46,0.04,0.387
g64,COSMOS,F814W,0.18,2.22,0.683,-20.64,-21.09,2,10.707,0.323,0.212,0.15,0.0,0.315,2.951,0.053,10.7,0.9,0.944,0.058,23.4,2.0,2.22,0.09,2.655,0.044,14.3,0.4,0.51,0.02,2.8,0.7,-2.7,20.9,208.9,23.2,2.109,0.3,5209.286,90.59,3.932,3.601,1.69,0.34,-0.04,0.01,0.164
g65,COSMOS,F814W,0.84,7.02,0.438,-22.46,-23.29,3,23.317,0.439,0.331,0.0,0.0,0.23,5.32,0.205,21.3,4.6,2.87,0.469,24.0,4.7,1.91,0.18,,,,,,,16.6,3.5,-3.1,31.2,235.1,43.5,1.346,0.529,17569.547,0.0,15.414,2.034,3.18,2.35,0.39,0.17,0.487
g66,COSMOS,F814W,0.343,3.8,0.6,-21.29,-21.75,4,21.071,0.487,0.096,0.0,0.0,0.417,5.001,0.08,11.0,0.6,1.565,0.22,6.6,1.3,2.12,0.21,,,,,,,18.7,7.6,-14.1,22.7,338.3,129.4,2.787,0.875,22840.17,0.0,32.869,7.697,3.05,1.54,-0.19,0.35,0.399
g68,COSMOS,F814W,0.347,3.83,0.598,-20.62,-21.16,2,12.994,0.459,0.351,0.0,0.0,0.19,3.395,0.067,10.6,0.6,0.915,0.034,43.4,2.8,2.06,0.09,,,,,,,18.0,5.1,-42.6,9.5,211.0,2.3,3.411,0.0,10113.771,500.383,2.978,0.132,0.64,0.0,-0.0,0.44,0.275
g69,COSMOS,F814W,0.725,6.44,0.467,-22.0,-22.79,4,22.296,0.483,0.277,0.0,0.0,0.24,4.104,0.084,26.2,2.3,2.114,0.26,22.1,4.0,2.3,0.2,,,,,,,15.4,3.4,-1.8,19.0,242.9,73.0,1.965,0.693,25209.033,0.0,8.075,3.31,6.7,3.39,0.11,0.31,0.637
g71,COSMOS,F814W,0.607,5.75,0.501,-22.22,-22.84,2,18.154,0.312,0.381,0.0,0.0,0.308,3.513,0.0,33.9,1.7,1.315,0.063,103.6,8.9,2.71,0.13,,,,,,,13.0,2.2,-61.8,3.0,248.3,7.8,3.306,0.133,10292.816,694.464,6.888,3.196,1.0,0.0,0.0,0.0,0.337
g73,COSMOS,F814W,0.85,7.07,0.436,-22.2,-23.33,2,18.825,0.296,0.179,0.227,0.0,0.299,4.013,0.155,18.8,2.2,0.898,0.031,137.6,8.0,1.21,0.09,4.956,0.23,10.2,1.3,1.13,0.12,14.6,7.1,-49.7,8.0,185.7,14.8,3.901,0.701,12064.35,297.918,4.658,1.066,0.5,0.21,-0.5,0.0,0.599
g74,COSMOS,F814W,0.94,7.47,0.416,-22.68,-23.37,3,27.769,0.463,0.26,0.0,0.0,0.277,5.345,0.156,30.5,2.4,1.846,0.055,70.8,2.7,0.92,0.05,,,,,,,17.8,3.2,-23.5,23.2,236.1,44.5,1.874,0.5,17796.429,271.47,36.072,22.913,2.15,0.7,0.26,0.19,0.622
g75,COSMOS,F814W,0.358,3.93,0.594,-21.27,-21.8,2,14.194,0.594,0.037,0.0,0.0,0.369,3.403,0.027,22.3,0.5,0.795,0.035,27.2,2.3,0.98,0.11,,,,,,,15.1,4.1,-0.1,9.2,352.5,7.2,2.248,0.79,10015.859,0.0,26.823,5.636,2.22,1.22,-0.0,0.5,0.305
g76,COSMOS,F814W,0.221,2.65,0.66,-20.72,-21.08,5,14.736,0.302,0.007,0.151,0.0,0.541,3.314,0.112,8.8,0.7,0.356,0.027,13.2,1.9,0.29,0.15,2.78,0.125,3.9,0.3,1.59,0.09,12.7,5.7,1.0,27.2,235.6,45.9,3.159,0.797,13641.568,0.0,10.657,8.038,2.19,0.98,0.32,0.05,0.158
g77,COSMOS,F814W,0.376,4.08,0.586,-19.46,-20.03,2,9.035,0.748,0.004,0.067,0.0,0.181,2.254,0.032,13.8,0.5,0.305,0.221,6.0,6.3,0.25,0.0,1.309,0.073,8.1,0.9,0.25,0.0,16.4,1.8,-21.1,20.3,213.0,17.7,1.306,0.038,6317.364,253.878,6.995,4.151,1.0,0.0,0.0,0.0,0.46
g79,COSMOS,F814W,0.345,3.82,0.599,-21.79,-22.52,2,17.463,0.49,0.177,0.124,0.0,0.209,4.331,0.028,21.5,0.4,0.868,0.035,73.2,5.0,2.49,0.1,3.383,0.04,16.2,0.5,0.33,0.01,13.3,0.0,-55.7,0.7,181.5,0.5,3.073,0.55,8551.683,193.382,2.531,0.269,0.6,0.08,-0.35,0.12,0.17
g81,COSMOS,F814W,0.99,7.68,0.405,-22.61,-23.57,2,21.956,0.296,0.295,0.0,0.0,0.409,3.916,0.079,38.2,2.3,0.329,0.007,2679.1,95.4,1.0,0.0,,,,,,,19.3,4.8,-31.5,8.6,336.5,40.4,2.329,0.51,12841.312,712.7,6.208,3.039,1.0,0.0,-0.34,0.18,0.499
g82,COSMOS,F814W,0.444,4.63,0.558,-21.6,-22.29,2,20.768,0.673,0.288,0.0,0.0,0.038,4.228,0.032,26.2,0.6,1.011,0.031,66.4,3.5,2.17,0.08,,,,,,,5.7,0.6,7.1,11.7,165.5,23.4,2.218,0.259,12841.328,0.0,4.313,1.453,1.4,1.12,-0.07,0.48,0.555
g84,COSMOS,F814W,0.522,5.2,0.53,-20.56,-21.24,2,10.534,0.529,0.144,0.0,0.0,0.328,2.005,0.056,38.6,4.0,1.01,0.186,20.4,6.2,2.97,0.52,,,,,,,24.2,0.9,-35.3,12.4,240.7,1.8,1.275,0.085,5649.895,0.0,12.186,1.458,1.97,0.39,0.22,0.13,0.14
g85,COSMOS,F814W,0.387,4.18,0.581,-21.15,-21.61,4,13.212,0.675,0.014,0.0,0.0,0.311,2.685,0.018,39.4,0.5,0.312,0.025,47.9,7.0,0.32,0.17,,,,,,,16.0,4.4,7.3,10.1,204.7,62.3,1.906,0.706,9767.516,0.0,8.58,9.015,5.87,4.67,0.11,0.23,0.318
g87,COSMOS,F814W,0.431,4.53,0.563,-22.3,-23.02,2,19.314,0.473,0.215,0.0,0.068,0.244,3.703,0.049,42.5,2.3,1.294,0.054,80.2,5.1,1.77,0.07,,,,,,,9.1,10.8,-2.1,18.6,286.9,103.3,2.237,0.703,10553.372,168.621,13.389,2.161,2.21,0.63,0.01,0.03,0.358
g89,COSMOS,F814W,0.843,7.04,0.437,-21.91,-22.37,2,21.957,0.541,0.099,0.0,0.0,0.359,5.262,0.096,17.9,0.8,0.684,0.022,90.8,6.3,0.94,0.11,,,,,,,15.7,0.2,24.7,2.7,315.2,13.1,3.434,0.868,9820.003,227.091,30.593,1.436,0.71,0.0,-0.5,0.0,0.317
g93,COSMOS,F814W,0.521,5.19,0.53,-21.44,-21.9,2,16.183,0.612,0.147,0.0,0.0,0.241,2.65,0.038,52.7,2.5,1.563,0.337,10.6,3.3,2.53,0.36,,,,,,,10.0,2.1,-15.2,0.9,338.9,27.4,1.622,0.505,12238.519,199.939,10.556,7.745,3.01,1.19,-0.19,0.07,0.565
g95,COSMOS,F814W,0.322,3.62,0.61,-22.45,-23.03,3,19.646,0.544,0.201,0.0,0.0,0.256,3.426,0.014,62.3,1.1,2.24,0.059,27.1,1.0,1.97,0.04,,,,,,,15.2,6.0,-37.0,23.8,158.8,54.7,1.801,0.137,7665.722,112.329,4.867,1.219,1.31,0.35,-0.08,0.16,0.517
