Galaxy,Subsample,Filter,z,t_L (Gyr),λ rf (μm),M rf,M F814W,N arms,R_25 (kpc),D/T,B/T,Bar/T,R/T,S/T,Disc h (kpc),Disc h err,Disc I_0 (μJy/sq.arcsec),Disc I_0 err,Bulge r_e (kpc),Bulge r_e err,Bulge I_e (μJy/sq.arcsec),Bulge I_e err,Bulge n,Bulge n err,Bar r_e (kpc),Bar r_e err,Bar I_e (μJy/sq.arcsec),Bar I_e err,Bar n,Bar n err,μ (deg),μ std,Δμ (deg),Δμ std,l_ψ (deg),l_ψ std,w (kpc),w std,r_end (kpc),r_end err,h_s (kpc),h_s std,W_i,W_i std,S,S std,A_sp
JADES158887,JADES,F200W,1.08,8.02,0.957,-22.45,-22.2,3,14.374,0.545,0.078,0.0,0.0,0.377,1.558,0.007,365.6,3.8,0.34,0.005,460.7,8.9,1.0,0.0,,,,,,,28.6,8.8,-13.0,54.1,180.3,46.8,1.4,0.208,6830.305,0.0,3.067,1.557,3.77,4.11,-0.09,0.17,0.571
JADES158887,JADES,F277W,1.08,8.02,1.339,-22.85,-22.2,3,16.24,0.543,0.082,0.0,0.0,0.374,1.602,0.011,586.8,7.7,0.421,0.01,457.8,13.3,1.0,0.0,,,,,,,31.5,10.3,-51.5,27.4,179.6,12.3,1.989,0.277,9377.433,331.057,2.817,1.284,1.55,0.83,0.03,0.23,0.562
JADES158887,JADES,F335M,1.08,8.02,1.618,-23.05,-22.2,3,16.475,0.538,0.09,0.0,0.0,0.372,1.576,0.007,714.4,6.7,0.405,0.007,648.7,13.9,1.0,0.0,,,,,,,31.8,10.3,-48.9,30.5,176.3,15.5,1.935,0.262,10285.204,273.899,2.723,1.261,1.64,1.03,0.01,0.23,0.569
JADES158887,JADES,F356W,1.08,8.02,1.713,-23.06,-22.2,3,17.347,0.534,0.089,0.0,0.0,0.377,1.576,0.01,725.7,9.5,0.398,0.01,672.4,23.0,1.0,0.0,,,,,,,31.5,10.2,-48.6,32.1,175.4,16.8,1.887,0.217,10345.496,331.882,2.68,1.273,1.77,1.19,0.01,0.23,0.569
JADES158887,JADES,F410M,1.08,8.02,1.967,-23.0,-22.2,3,17.062,0.538,0.076,0.0,0.0,0.386,1.48,0.008,763.1,7.8,0.314,0.009,867.9,34.9,1.0,0.0,,,,,,,31.2,10.3,-50.9,31.1,174.2,17.4,1.851,0.205,10213.651,273.639,2.678,1.357,2.08,1.61,0.01,0.28,0.576
JADES158887,JADES,F444W,1.08,8.02,2.126,-22.94,-22.2,3,16.805,0.533,0.075,0.0,0.0,0.392,1.465,0.008,746.9,8.0,0.308,0.01,844.3,39.7,1.0,0.0,,,,,,,30.9,11.1,-49.8,30.7,174.2,14.8,1.903,0.271,10717.604,317.243,2.617,1.316,2.51,2.49,-0.11,0.33,0.571
JADES158906,JADES,F090W,1.92,10.11,0.309,-20.92,-21.78,2,9.736,0.467,0.0,0.094,0.0,0.439,2.259,0.051,32.6,1.3,,,,,,,2.895,0.102,10.3,0.6,0.34,0.04,11.1,7.5,2.4,43.8,144.0,12.6,1.665,0.316,5661.246,311.647,5.691,4.962,1.19,0.6,0.37,0.01,0.93
JADES158906,JADES,F115W,1.92,10.11,0.395,-21.47,-21.78,2,10.185,0.372,0.013,0.082,0.0,0.533,2.36,0.039,40.0,1.1,0.384,0.029,24.4,2.2,1.0,0.0,2.893,0.066,18.7,0.7,0.49,0.03,10.9,0.1,-45.1,11.8,164.0,5.1,2.653,0.121,5205.69,0.0,1.465,0.193,1.59,1.53,0.2,0.3,0.612
JADES158906,JADES,F150W,1.92,10.11,0.514,-21.67,-21.78,2,13.015,0.429,0.012,0.095,0.0,0.465,2.531,0.029,45.2,1.0,0.362,0.027,31.5,2.7,1.0,0.0,2.993,0.058,24.1,0.7,0.47,0.03,8.8,0.0,-32.1,16.1,171.1,0.8,2.338,0.081,5180.378,0.0,1.292,0.184,1.53,1.53,0.25,0.25,0.63
JADES158906,JADES,F200W,1.92,10.11,0.682,-21.76,-21.78,2,11.523,0.366,0.017,0.123,0.0,0.494,2.436,0.031,45.4,1.1,0.345,0.017,49.8,3.3,1.0,0.0,2.565,0.04,26.7,0.5,0.5,0.0,5.1,0.9,-20.5,15.7,165.8,5.4,2.293,0.313,5452.502,0.0,1.422,0.186,2.32,2.21,-0.12,0.02,0.604
JADES158906,JADES,F277W,1.92,10.11,0.954,-21.79,-21.78,2,11.875,0.325,0.003,0.127,0.0,0.545,2.392,0.046,42.9,2.7,0.027,0.055,1404.6,5693.2,1.0,0.0,1.968,0.075,35.8,1.3,0.82,0.06,12.1,0.7,-25.5,14.2,200.2,9.1,2.493,0.119,5478.872,0.0,1.55,0.452,1.13,0.99,0.32,0.24,0.502
JADES158906,JADES,F356W,1.92,10.11,1.22,-21.84,-21.78,2,11.916,0.323,0.009,0.154,0.0,0.515,2.346,0.041,44.4,2.6,0.025,0.0,5458.3,278.0,1.0,0.0,2.649,0.045,36.9,0.7,0.58,0.03,8.0,1.0,-17.9,6.7,209.6,21.7,2.287,0.018,5497.604,0.0,1.289,0.296,1.08,0.82,0.13,0.07,0.495
JADES158906,JADES,F410M,1.92,10.11,1.401,-21.85,-21.78,2,12.335,0.318,0.01,0.178,0.0,0.494,2.478,0.092,41.0,5.4,0.025,0.0,5961.4,528.0,1.0,0.0,2.784,0.089,34.7,1.3,0.61,0.05,9.3,0.1,-25.3,11.5,186.3,5.7,2.352,0.082,5457.821,226.67,1.367,0.237,1.58,1.23,0.28,0.29,0.512
JADES158906,JADES,F444W,1.92,10.11,1.514,-21.88,-21.78,2,13.021,0.31,0.014,0.167,0.0,0.509,2.345,0.041,44.7,2.5,0.025,0.0,8962.8,282.6,1.0,0.0,3.014,0.039,37.5,0.7,0.45,0.02,8.3,2.2,5.5,23.0,198.8,9.6,2.358,0.35,5624.816,162.851,1.227,0.166,1.72,1.54,0.15,0.28,0.502
JADES159476,JADES,F115W,1.08,8.02,0.555,-21.56,-22.2,4,15.003,0.539,0.004,0.0,0.0,0.457,2.978,0.022,72.5,0.6,0.277,0.022,21.9,2.4,0.5,0.0,,,,,,,17.8,12.4,-31.6,30.2,254.0,108.4,2.243,1.162,15255.36,0.0,7.65,7.752,6.64,3.7,0.03,0.4,0.573
JADES159476,JADES,F150W,1.08,8.02,0.722,-22.04,-22.2,4,16.025,0.57,0.009,0.0,0.0,0.421,2.735,0.012,135.3,0.8,0.261,0.009,77.8,4.2,0.5,0.0,,,,,,,18.3,10.7,-32.1,27.6,244.8,99.5,2.227,1.003,14915.181,0.0,6.243,4.132,7.56,4.31,0.2,0.3,0.572
JADES159476,JADES,F200W,1.08,8.02,0.957,-22.42,-22.2,4,16.119,0.581,0.018,0.0,0.0,0.401,2.517,0.008,238.3,1.2,0.302,0.006,176.7,5.3,0.5,0.0,,,,,,,17.2,9.2,-30.4,24.1,258.9,106.5,2.178,0.893,15075.853,0.0,5.802,3.936,9.06,4.44,-0.01,0.25,0.573
JADES159476,JADES,F277W,1.08,8.02,1.339,-22.82,-22.2,4,21.413,0.591,0.013,0.0,0.0,0.396,2.316,0.007,404.2,2.5,0.033,0.017,11349.4,11595.8,1.0,0.0,,,,,,,18.9,13.2,-44.8,22.7,267.5,86.3,2.106,0.734,12887.787,516.2,5.885,4.666,9.41,6.24,0.21,0.36,0.587
JADES159476,JADES,F356W,1.08,8.02,1.713,-23.03,-22.2,4,22.16,0.573,0.029,0.0,0.0,0.398,2.261,0.008,497.3,5.3,0.37,0.019,243.2,16.7,1.0,0.0,,,,,,,20.0,12.9,-50.8,21.4,236.6,67.9,1.934,0.562,12440.046,490.209,6.489,4.74,8.75,6.1,-0.05,0.25,0.577
JADES159476,JADES,F410M,1.08,8.02,1.967,-22.98,-22.2,4,23.444,0.53,0.037,0.0,0.0,0.433,2.24,0.009,452.3,5.5,0.386,0.018,278.1,16.8,1.0,0.0,,,,,,,18.7,12.9,-43.2,24.0,247.1,76.5,2.026,0.643,12434.134,470.858,4.804,2.38,8.14,4.56,0.23,0.36,0.527
JADES159476,JADES,F444W,1.08,8.02,2.126,-22.91,-22.2,4,22.187,0.559,0.024,0.0,0.0,0.416,2.136,0.007,485.8,3.4,0.064,0.014,6111.8,2649.3,1.0,0.0,,,,,,,18.7,12.8,-43.6,26.4,253.6,95.1,1.872,0.672,12099.012,484.594,4.167,1.611,9.5,5.46,0.24,0.34,0.543
JADES160443,JADES,F150W,1.97,10.19,0.505,-22.48,-23.65,2,,0.451,0.315,0.0,0.0,0.234,3.967,0.0,65.5,0.0,1.182,0.006,157.1,1.2,1.0,0.0,,,,,,,11.4,2.2,-52.8,19.6,186.6,72.8,2.791,1.122,10882.924,663.954,4.872,1.215,2.82,3.03,-0.11,0.49,0.779
JADES160443,JADES,F200W,1.97,10.19,0.67,-23.24,-23.65,2,20.045,0.527,0.29,0.0,0.0,0.182,2.934,0.024,251.6,4.6,1.067,0.007,361.3,2.3,1.0,0.0,,,,,,,12.7,2.3,-49.0,16.9,197.0,65.6,1.78,0.017,10362.371,0.0,2.981,0.687,1.43,1.21,-0.23,0.22,0.683
JADES160443,JADES,F277W,1.97,10.19,0.938,-23.93,-23.65,2,24.31,0.483,0.302,0.0,0.0,0.215,2.31,0.017,655.9,14.0,1.124,0.011,635.1,5.8,1.0,0.0,,,,,,,15.6,5.3,-44.9,19.0,208.3,55.0,2.55,0.219,9631.751,0.0,1.705,0.641,3.33,2.01,-0.43,0.07,0.523
JADES160443,JADES,F356W,1.97,10.19,1.2,-24.33,-23.65,2,22.416,0.432,0.334,0.0,0.0,0.234,2.087,0.018,985.9,27.0,1.161,0.012,949.5,9.4,1.0,0.0,,,,,,,16.1,5.4,-35.9,16.2,221.1,41.7,2.196,0.32,9234.024,0.0,1.844,0.813,3.95,2.44,-0.46,0.04,0.511
JADES160443,JADES,F410M,1.97,10.19,1.378,-24.45,-23.65,2,23.925,0.439,0.323,0.0,0.0,0.238,1.873,0.014,1322.2,35.1,1.114,0.009,1119.9,8.7,1.0,0.0,,,,,,,16.8,4.7,-22.3,16.9,228.2,43.2,1.922,0.34,8935.836,0.0,1.66,0.815,5.47,2.28,-0.07,0.3,0.517
JADES160443,JADES,F444W,1.97,10.19,1.489,-24.56,-23.65,2,23.071,0.376,0.391,0.0,0.0,0.233,2.044,0.019,1092.3,35.1,1.242,0.01,1209.3,9.9,1.0,0.0,,,,,,,17.1,4.6,-28.0,17.0,224.2,39.6,1.991,0.477,8500.286,274.621,1.557,0.72,6.63,3.46,0.02,0.44,0.52
JADES164258,JADES,F150W,2.01,10.25,0.499,-22.45,-23.44,3,17.927,0.529,0.111,0.0,0.0,0.359,3.955,0.052,54.9,1.5,0.848,0.013,105.7,1.6,1.0,0.0,,,,,,,13.4,2.7,-20.9,15.8,199.2,21.1,2.082,0.618,7818.965,395.571,4.749,0.871,2.61,5.32,-0.42,0.18,0.647
JADES164258,JADES,F200W,2.01,10.25,0.661,-23.15,-23.44,3,22.191,0.49,0.192,0.0,0.0,0.318,3.742,0.058,104.2,4.1,0.716,0.008,486.4,6.6,1.0,0.0,,,,,,,12.7,5.1,-10.1,36.8,206.7,38.4,2.544,0.813,6454.715,180.262,6.593,6.408,1.79,2.36,-0.39,0.32,0.531
JADES164258,JADES,F277W,2.01,10.25,0.926,-23.62,-23.44,3,22.992,0.501,0.262,0.0,0.0,0.236,1.973,0.034,657.5,33.5,0.868,0.018,696.2,12.8,1.0,0.0,,,,,,,14.1,3.2,-15.2,19.6,237.1,30.4,2.066,0.661,10066.775,1001.515,2.004,0.192,3.81,6.85,-0.33,0.35,0.636
JADES164258,JADES,F335M,2.01,10.25,1.118,-24.0,-23.44,3,23.069,0.508,0.253,0.0,0.0,0.239,1.587,0.022,1471.8,60.9,0.873,0.015,937.9,13.7,1.0,0.0,,,,,,,14.3,1.5,-10.3,22.8,255.1,36.8,1.868,0.659,9669.751,442.918,1.796,0.222,1.82,1.82,0.03,0.22,0.599
JADES164258,JADES,F356W,2.01,10.25,1.184,-24.1,-23.44,3,24.956,0.497,0.286,0.0,0.0,0.217,1.66,0.0,1460.0,44.3,0.925,0.018,1045.0,22.1,1.0,0.0,,,,,,,14.7,2.2,-10.4,23.8,257.9,37.5,1.854,0.602,10986.472,1055.033,1.725,0.317,3.63,6.34,0.0,0.23,0.604
JADES168076,JADES,F090W,1.1,8.09,0.429,-20.8,-22.31,3,12.766,0.632,0.062,0.0,0.0,0.306,2.245,0.018,80.1,1.1,0.543,0.013,31.2,0.8,1.0,0.0,,,,,,,25.3,8.6,-29.1,33.7,156.4,19.9,1.384,0.238,8033.999,0.0,12.88,6.731,1.97,0.38,0.1,0.19,0.583
JADES168076,JADES,F115W,1.1,8.09,0.55,-21.56,-22.31,3,17.509,0.684,0.067,0.0,0.0,0.249,2.105,0.01,176.1,1.5,0.467,0.007,92.0,1.6,1.0,0.0,,,,,,,25.5,5.3,-20.2,12.1,164.2,9.9,1.509,0.488,8157.367,0.0,7.556,3.459,4.79,5.81,-0.01,0.31,0.562
JADES168076,JADES,F150W,1.1,8.09,0.715,-22.11,-22.31,3,16.439,0.652,0.089,0.0,0.0,0.259,2.074,0.008,285.9,2.5,0.645,0.008,176.9,2.2,1.0,0.0,,,,,,,23.6,4.8,-6.8,12.0,182.3,7.9,1.471,0.46,8077.761,0.0,6.296,2.727,3.37,1.25,-0.03,0.18,0.496
JADES168076,JADES,F200W,1.1,8.09,0.948,-22.56,-22.31,3,17.841,0.656,0.092,0.0,0.0,0.253,1.952,0.005,496.0,3.2,0.621,0.007,299.1,3.6,1.0,0.0,,,,,,,24.9,3.2,-4.1,8.9,191.4,7.3,1.382,0.45,9491.876,0.0,5.907,2.453,3.31,1.27,0.03,0.16,0.532
JADES168076,JADES,F277W,1.1,8.09,1.327,-23.0,-22.31,3,20.938,0.656,0.061,0.0,0.0,0.283,1.843,0.006,912.9,7.5,0.551,0.017,256.9,7.5,1.0,0.0,,,,,,,22.1,2.5,-13.4,19.2,179.7,29.2,2.021,0.5,7919.948,227.683,3.503,1.117,3.26,6.27,0.2,0.16,0.557
JADES168076,JADES,F356W,1.1,8.09,1.697,-23.21,-22.31,3,22.306,0.55,0.123,0.0,0.0,0.327,2.075,0.008,735.2,10.5,0.686,0.01,359.1,5.7,1.0,0.0,,,,,,,21.4,6.6,-1.5,36.5,194.8,36.1,2.135,0.136,9392.363,461.141,3.105,1.625,3.0,1.16,0.27,0.21,0.442
JADES168076,JADES,F410M,1.1,8.09,1.949,-23.17,-22.31,3,22.242,0.545,0.123,0.0,0.0,0.332,2.095,0.007,697.7,8.7,0.73,0.011,304.8,4.2,1.0,0.0,,,,,,,19.5,8.2,-6.6,45.8,184.1,26.2,2.029,0.304,9596.733,0.0,3.209,2.045,4.66,4.0,0.01,0.32,0.459
JADES168076,JADES,F444W,1.1,8.09,2.105,-23.11,-22.31,3,22.138,0.554,0.124,0.0,0.0,0.322,2.066,0.008,678.0,9.2,0.727,0.011,294.3,4.0,1.0,0.0,,,,,,,19.3,8.6,-7.0,44.5,187.8,25.5,1.955,0.288,9607.545,0.0,2.924,1.844,6.01,6.39,-0.03,0.31,0.469
JADES169951,JADES,F090W,1.09,8.06,0.431,-20.8,-21.4,2,11.04,0.365,0.003,0.214,0.0,0.419,2.186,0.046,33.7,1.7,0.024,0.0,647.2,38.3,1.0,0.0,2.311,0.029,18.0,0.5,0.64,0.02,15.2,4.2,-19.9,16.7,277.0,48.3,2.185,0.643,10238.371,0.0,4.778,1.646,3.73,1.83,-0.27,0.01,0.46
JADES169951,JADES,F115W,1.09,8.06,0.552,-21.11,-21.4,2,12.439,0.458,0.003,0.19,0.0,0.349,2.278,0.026,49.4,1.2,0.025,0.009,848.2,593.8,1.0,0.0,2.163,0.018,26.3,0.4,0.62,0.01,13.5,5.8,-14.8,4.6,285.9,48.9,2.148,0.835,9081.625,195.41,5.019,0.923,3.08,1.21,-0.34,0.08,0.47
JADES169951,JADES,F150W,1.09,8.06,0.718,-21.34,-21.4,2,12.545,0.463,0.004,0.22,0.0,0.314,2.188,0.02,63.5,1.4,0.024,0.0,1506.5,62.8,1.0,0.0,2.177,0.012,37.4,0.5,0.57,0.01,15.5,5.7,-19.8,16.2,274.0,49.5,1.971,0.748,9239.675,154.386,5.401,1.001,3.05,1.42,-0.14,0.05,0.466
JADES169951,JADES,F200W,1.09,8.06,0.952,-21.46,-21.4,2,13.446,0.487,0.004,0.225,0.0,0.284,2.145,0.016,81.8,1.5,0.045,0.011,578.0,278.4,1.0,0.0,2.092,0.009,47.4,0.5,0.54,0.01,16.4,6.0,-13.2,21.0,274.6,55.4,1.97,0.819,10090.795,240.991,5.164,2.03,2.44,0.38,0.15,0.06,0.462
JADES169951,JADES,F277W,1.09,8.06,1.333,-21.59,-21.4,2,13.509,0.33,0.005,0.354,0.0,0.311,2.27,0.041,52.9,3.3,0.024,0.0,2449.3,180.7,1.0,0.0,2.233,0.013,61.7,0.9,0.59,0.01,16.2,6.6,-22.0,13.3,279.5,51.5,1.908,0.622,9646.402,393.248,3.646,0.907,2.6,0.56,0.14,0.09,0.418
JADES169951,JADES,F356W,1.09,8.06,1.705,-21.67,-21.4,2,14.103,0.437,0.006,0.265,0.0,0.291,2.006,0.019,98.7,2.8,0.024,0.0,3456.8,237.8,1.0,0.0,2.126,0.01,64.8,0.8,0.47,0.01,16.3,6.5,-17.3,8.6,272.1,58.1,1.886,0.639,8956.173,179.076,3.57,0.941,2.56,0.58,0.11,0.12,0.448
JADES169951,JADES,F410M,1.09,8.06,1.958,-21.58,-21.4,2,13.141,0.439,0.009,0.248,0.0,0.304,1.918,0.019,97.3,2.7,0.024,0.0,4555.2,229.2,1.0,0.0,2.143,0.011,62.2,0.8,0.36,0.01,16.7,6.9,-21.0,10.8,266.3,58.2,1.754,0.77,8493.548,135.113,3.609,0.85,2.74,0.71,0.03,0.19,0.474
JADES169951,JADES,F444W,1.09,8.06,2.115,-21.48,-21.4,2,13.13,0.413,0.01,0.263,0.0,0.314,1.972,0.018,78.6,2.0,0.024,0.0,4585.6,172.1,1.0,0.0,2.121,0.008,60.7,0.6,0.36,0.01,16.7,7.0,-18.3,9.3,266.5,56.4,1.763,0.736,8646.483,146.346,3.402,0.813,2.51,0.6,0.07,0.17,0.445
JADES188157,JADES,F090W,1.1,8.09,0.429,-22.12,-23.35,2,14.622,0.493,0.226,0.0,0.0,0.281,3.059,0.066,71.8,4.2,1.357,0.023,98.0,2.0,0.61,0.02,,,,,,,7.3,3.8,-21.1,5.2,418.1,74.2,2.493,0.539,7370.851,304.925,1.567,0.141,10.07,6.14,-0.09,0.22,0.7
JADES188157,JADES,F115W,1.1,8.09,0.55,-22.75,-23.35,2,16.529,0.604,0.084,0.0,0.0,0.313,2.884,0.032,174.2,5.0,0.477,0.012,329.1,10.4,1.0,0.0,,,,,,,18.9,9.9,6.2,31.6,429.0,43.3,2.816,0.114,10091.183,592.482,1.285,0.806,7.34,7.47,0.08,0.49,0.475
JADES188157,JADES,F150W,1.1,8.09,0.715,-23.19,-23.35,2,17.315,0.6,0.112,0.0,0.0,0.288,2.638,0.023,307.0,7.7,0.621,0.013,419.1,8.6,1.0,0.0,,,,,,,12.5,5.1,-13.7,18.2,434.0,45.7,2.767,0.193,8973.204,354.13,1.475,0.368,6.77,6.81,-0.26,0.03,0.478
JADES188157,JADES,F182M,1.1,8.09,0.879,-23.46,-23.35,2,18.3,0.645,0.117,0.0,0.0,0.238,2.482,0.012,452.0,6.4,0.668,0.017,382.3,15.4,1.47,0.05,,,,,,,12.1,4.3,-15.5,18.7,425.9,58.8,2.281,0.582,7999.137,0.0,1.282,0.375,4.17,4.12,-0.12,0.34,0.531
JADES188157,JADES,F200W,1.1,8.09,0.948,-23.58,-23.35,2,19.224,0.579,0.128,0.0,0.0,0.293,2.562,0.016,429.6,8.0,0.6,0.013,633.8,24.9,1.18,0.05,,,,,,,11.8,3.8,-12.1,18.3,438.0,50.5,2.779,0.167,10472.121,0.0,1.375,0.482,10.62,2.26,-0.5,0.0,0.431
JADES188157,JADES,F210M,1.1,8.09,0.997,-23.69,-23.35,2,20.989,0.669,0.093,0.0,0.0,0.238,2.278,0.008,654.4,5.0,0.472,0.004,896.7,10.2,1.0,0.0,,,,,,,12.2,5.0,-14.8,24.1,431.9,71.1,2.296,0.548,7888.224,0.0,1.109,0.388,3.9,3.85,0.04,0.4,0.523
JADES188157,JADES,F277W,1.1,8.09,1.327,-24.0,-23.35,2,21.852,0.604,0.134,0.0,0.0,0.262,2.269,0.015,843.1,20.2,0.711,0.024,888.8,39.0,0.75,0.05,,,,,,,10.9,3.7,-14.5,24.0,430.2,67.6,2.66,0.017,9175.269,352.033,1.289,0.532,8.62,0.25,-0.35,0.09,0.437
JADES188157,JADES,F356W,1.1,8.09,1.697,-24.15,-23.35,2,23.065,0.506,0.177,0.0,0.0,0.317,2.414,0.028,719.2,34.3,0.766,0.03,1045.7,62.6,0.87,0.07,,,,,,,8.5,1.6,4.3,31.1,406.9,23.1,2.312,0.263,9022.458,427.143,1.07,0.21,7.86,0.8,-0.34,0.01,0.388
JADES188157,JADES,F410M,1.1,8.09,1.949,-24.12,-23.35,2,22.271,0.518,0.195,0.0,0.0,0.287,2.317,0.015,775.6,17.5,0.871,0.016,1126.6,35.9,0.91,0.04,,,,,,,7.1,0.4,-15.0,16.4,413.5,23.6,2.572,0.057,8846.87,246.401,1.107,0.287,5.7,2.36,-0.31,0.12,0.393
JADES188157,JADES,F444W,1.1,8.09,2.105,-24.06,-23.35,2,24.199,0.572,0.206,0.0,0.0,0.222,2.23,0.016,869.8,19.2,0.872,0.019,1173.2,42.8,0.83,0.05,,,,,,,10.7,2.6,-2.4,31.9,378.3,60.9,2.09,0.422,9663.663,537.567,1.118,0.346,3.31,2.88,0.14,0.46,0.453
JADES188429,JADES,F200W,1.69,9.69,0.74,-22.62,-22.65,2,15.308,0.44,0.114,0.145,0.0,0.301,2.858,0.028,95.3,2.7,0.404,0.004,556.3,7.0,1.0,0.0,1.892,0.023,111.3,1.6,0.25,0.0,9.8,0.1,-54.5,11.5,204.2,0.5,2.027,0.178,4958.649,106.517,3.191,1.204,0.92,0.59,-0.15,0.34,0.312
JADES188429,JADES,F210M,1.69,9.69,0.778,-22.62,-22.65,2,,0.369,0.122,0.16,0.0,0.349,2.465,0.056,113.5,7.1,0.38,0.006,672.8,12.4,1.0,0.0,1.821,0.032,131.5,3.0,0.25,0.0,10.7,0.6,-59.4,6.1,207.5,2.6,2.161,0.179,5146.713,238.251,3.376,1.472,1.15,0.74,-0.31,0.17,0.291
JADES188429,JADES,F277W,1.69,9.69,1.036,-23.19,-22.65,2,16.155,0.409,0.158,0.184,0.0,0.249,2.106,0.015,265.7,5.2,0.496,0.01,868.7,18.1,1.0,0.0,1.939,0.028,279.4,6.4,0.25,0.0,14.2,4.1,-57.5,13.5,226.3,8.9,2.379,0.255,5182.726,212.071,2.334,0.434,0.54,0.19,0.07,0.01,0.346
JADES188429,JADES,F335M,1.69,9.69,1.251,-23.42,-22.65,2,17.263,0.372,0.192,0.222,0.0,0.215,1.99,0.011,301.0,4.6,0.508,0.01,1241.5,22.2,1.0,0.0,1.896,0.024,397.1,11.3,0.31,0.01,13.4,1.2,-56.5,4.4,232.8,22.2,2.114,0.426,4789.074,158.765,2.15,0.997,1.25,0.66,-0.01,0.25,0.38
JADES188429,JADES,F356W,1.69,9.69,1.324,-23.53,-22.65,2,17.809,0.363,0.189,0.223,0.0,0.224,1.998,0.013,341.9,6.1,0.474,0.012,1549.6,38.8,1.0,0.0,1.904,0.023,475.9,13.7,0.26,0.01,16.9,1.3,-59.5,10.1,226.4,10.9,2.205,0.323,5412.848,208.086,2.091,0.648,0.73,0.43,0.19,0.25,0.389
JADES188429,JADES,F410M,1.69,9.69,1.521,-23.69,-22.65,2,19.293,0.339,0.251,0.211,0.0,0.198,1.984,0.015,376.9,7.9,0.547,0.008,1792.0,28.8,1.0,0.0,1.863,0.016,514.5,8.9,0.25,0.0,15.8,1.3,-56.0,12.9,220.2,14.8,2.202,0.276,5709.789,241.645,2.305,0.879,0.86,0.55,0.06,0.27,0.408
JADES188429,JADES,F444W,1.69,9.69,1.644,-23.82,-22.65,2,21.137,0.326,0.274,0.195,0.0,0.206,1.982,0.019,398.0,11.1,0.587,0.008,1903.0,29.0,1.0,0.0,1.759,0.026,545.7,16.9,0.26,0.01,14.0,0.1,-57.9,3.5,229.4,18.7,2.137,0.359,4684.514,272.116,1.686,0.475,1.41,0.53,0.09,0.34,0.371
