Galaxy,Subsample,Filter,z,t_L (Gyr),λ_rf (μm),M_rf (AB),M_F814W (AB),N arms,R_25 (kpc),Disc h (kpc)
EGS23205,CEERS,F356W,2.136,10.44,1.136,-24.32,-23.75,2,26.737,2.783
EGS23205,CEERS,F410M,2.136,10.44,1.305,-24.52,-23.75,2,24.287,2.721
EGS23205,CEERS,F444W,2.136,10.44,1.41,-24.57,-23.75,2,29.381,2.701
EGS23259,CEERS,F115W,1.533,9.34,0.456,-21.51,,3,16.484,4.422
EGS23259,CEERS,F150W,1.533,9.34,0.593,-21.98,,3,18.159,4.171
EGS23259,CEERS,F200W,1.533,9.34,0.786,-22.32,,3,17.741,3.295
EGS24154,CEERS,F115W,1.174,8.34,0.531,-22.78,-23.46,4,21.552,4.383
EGS24154,CEERS,F150W,1.174,8.34,0.69,-23.24,-23.46,4,22.44,3.732
EGS24154,CEERS,F200W,1.174,8.34,0.915,-23.62,-23.46,4,24.602,3.885
EGS24154,CEERS,F277W,1.174,8.34,1.282,-23.98,-23.46,4,28.004,3.492
EGS24154,CEERS,F356W,1.174,8.34,1.639,-24.07,-23.46,4,28.27,3.372
EGS24154,CEERS,F410M,1.174,8.34,1.882,-24.06,-23.46,4,28.864,3.404
EGS24154,CEERS,F444W,1.174,8.34,2.034,-24.01,-23.46,4,27.224,3.392
EGS24268,CEERS,F200W,2.305,10.67,0.602,-22.05,-22.24,2,23.498,2.305
EGS24268,CEERS,F277W,2.305,10.67,0.843,-22.29,-22.24,2,18.388,2.267
EGS24268,CEERS,F356W,2.305,10.67,1.078,-22.59,-22.24,2,17.735,1.869
EGS24268,CEERS,F410M,2.305,10.67,1.238,-22.74,-22.24,2,,1.504
EGS24268,CEERS,F444W,2.305,10.67,1.338,-22.81,-22.24,2,23.568,1.94
EGS25604,CEERS,F115W,1.664,9.63,0.433,-22.29,-23.49,1,17.096,3.668
EGS25604,CEERS,F150W,1.664,9.63,0.563,-22.9,-23.49,1,20.316,3.252
EGS25604,CEERS,F200W,1.664,9.63,0.747,-23.37,-23.49,1,22.373,3.165
EGS25604,CEERS,F277W,1.664,9.63,1.046,-23.88,-23.49,1,27.933,2.704
EGS25604,CEERS,F356W,1.664,9.63,1.338,-24.06,-23.49,1,26.212,2.602
EGS25604,CEERS,F410M,1.664,9.63,1.536,-24.2,-23.49,1,27.895,2.496
EGS25604,CEERS,F444W,1.664,9.63,1.66,-24.31,-23.49,1,28.721,2.484
EGS25879,CEERS,F115W,1.47,9.19,0.467,-23.33,-24.27,3,22.173,4.469
EGS25879,CEERS,F150W,1.47,9.19,0.608,-23.88,-24.27,3,26.851,4.157
EGS25879,CEERS,F200W,1.47,9.19,0.806,-24.27,-24.27,3,26.707,4.286
EGS25879,CEERS,F277W,1.47,9.19,1.128,-24.77,-24.27,3,27.893,4.256
EGS25879,CEERS,F356W,1.47,9.19,1.442,-25.03,-24.27,3,29.945,4.388
EGS25879,CEERS,F410M,1.47,9.19,1.657,-25.21,-24.27,3,29.913,4.171
EGS25879,CEERS,F444W,1.47,9.19,1.79,-25.22,-24.27,3,30.133,3.975
EGS26748,CEERS,F115W,1.204,8.44,0.524,-21.71,-22.12,2,14.733,2.598
EGS26748,CEERS,F150W,1.204,8.44,0.681,-22.01,-22.12,2,19.634,2.536
EGS26748,CEERS,F200W,1.204,8.44,0.903,-22.18,-22.12,2,17.225,2.621
EGS26748,CEERS,F277W,1.204,8.44,1.264,-22.43,-22.12,2,16.002,2.344
EGS26748,CEERS,F356W,1.204,8.44,1.617,-22.43,-22.12,2,15.823,2.076
EGS26748,CEERS,F410M,1.204,8.44,1.857,-22.46,-22.12,2,17.137,2.405
EGS26748,CEERS,F444W,1.204,8.44,2.006,-22.38,-22.12,2,15.249,2.051
EGS26831,CEERS,F200W,1.543,9.37,0.782,-22.43,-22.47,2,,4.944
EGS26831,CEERS,F277W,1.543,9.37,1.096,-22.76,-22.47,2,22.808,3.481
EGS26831,CEERS,F356W,1.543,9.37,1.401,-22.93,-22.47,2,22.728,3.354
EGS26831,CEERS,F410M,1.543,9.37,1.609,-23.07,-22.47,2,21.934,3.386
EGS26831,CEERS,F444W,1.543,9.37,1.738,-23.08,-22.47,2,22.892,3.415
EGS27059,CEERS,F115W,1.094,8.07,0.551,-22.32,-22.82,4,16.992,3.33
EGS27059,CEERS,F150W,1.094,8.07,0.717,-22.68,-22.82,4,17.471,2.871
EGS27059,CEERS,F200W,1.094,8.07,0.95,-23.0,-22.82,4,18.5,2.68
EGS27059,CEERS,F277W,1.094,8.07,1.33,-23.34,-22.82,4,19.664,2.304
EGS27059,CEERS,F356W,1.094,8.07,1.702,-23.51,-22.82,4,20.682,2.435
EGS27059,CEERS,F410M,1.094,8.07,1.954,-23.47,-22.82,4,21.671,2.632
EGS27059,CEERS,F444W,1.094,8.07,2.111,-23.41,-22.82,4,22.03,2.48
EGS27976,CEERS,F115W,1.05,7.91,0.563,-21.59,-21.84,3,14.865,2.229
EGS27976,CEERS,F150W,1.05,7.91,0.732,-21.79,-21.84,3,14.633,2.004
EGS27976,CEERS,F200W,1.05,7.91,0.971,-21.9,-21.84,3,16.0,1.889
EGS27976,CEERS,F277W,1.05,7.91,1.359,-22.06,-21.84,3,16.127,1.867
EGS27976,CEERS,F356W,1.05,7.91,1.738,-22.14,-21.84,3,15.853,1.74
EGS27976,CEERS,F410M,1.05,7.91,1.996,-22.09,-21.84,3,16.268,1.831
EGS27976,CEERS,F444W,1.05,7.91,2.157,-21.98,-21.84,3,15.536,1.767
EGS30172,CEERS,F150W,3.29,11.56,0.35,-20.7,,2,,0.681
EGS30172,CEERS,F200W,3.29,11.56,0.464,-21.05,,2,,0.678
EGS30172,CEERS,F277W,3.29,11.56,0.649,-21.2,,2,,0.947
EGS30836,CEERS,F115W,1.116,8.15,0.545,-22.49,-23.06,3,15.294,3.091
EGS30836,CEERS,F150W,1.116,8.15,0.709,-22.92,-23.06,3,17.983,3.5
EGS30836,CEERS,F200W,1.116,8.15,0.94,-23.22,-23.06,3,19.299,3.479
EGS30836,CEERS,F277W,1.116,8.15,1.317,-23.62,-23.06,3,21.044,3.388
EGS30836,CEERS,F356W,1.116,8.15,1.684,-23.69,-23.06,3,21.347,3.181
EGS30836,CEERS,F410M,1.116,8.15,1.934,-23.66,-23.06,3,20.4,3.25
EGS30836,CEERS,F444W,1.116,8.15,2.089,-23.61,-23.06,3,20.486,3.365
EGS31125,CEERS,F200W,2.06,10.33,0.65,-22.92,-23.42,2,,2.545
EGS31125,CEERS,F277W,2.06,10.33,0.91,-23.69,-23.42,2,20.636,2.587
EGS31125,CEERS,F356W,2.06,10.33,1.164,-24.21,-23.42,2,21.591,2.587
EGS31125,CEERS,F410M,2.06,10.33,1.337,-24.47,-23.42,2,23.865,2.631
EGS31125,CEERS,F444W,2.06,10.33,1.445,-24.54,-23.42,2,23.441,2.927
EGS31281,CEERS,F115W,1.554,9.39,0.452,-21.6,-22.57,4,,3.655
EGS31281,CEERS,F150W,1.554,9.39,0.588,-22.1,-22.57,4,23.247,3.836
EGS31281,CEERS,F200W,1.554,9.39,0.779,-22.52,-22.57,4,19.357,3.217
EGS31281,CEERS,F277W,1.554,9.39,1.091,-23.06,-22.57,4,17.521,1.786
EGS31281,CEERS,F356W,1.554,9.39,1.395,-23.22,-22.57,4,19.83,1.923
EGS31281,CEERS,F410M,1.554,9.39,1.602,-23.35,-22.57,4,20.244,1.718
EGS31281,CEERS,F444W,1.554,9.39,1.731,-23.42,-22.57,4,18.021,1.493
EGS31720,CEERS,F115W,1.066,7.97,0.559,-20.94,-21.47,2,13.466,2.251
EGS31720,CEERS,F150W,1.066,7.97,0.726,-21.36,-21.47,2,15.505,2.335
EGS31720,CEERS,F200W,1.066,7.97,0.963,-21.61,-21.47,2,15.268,2.263
EGS31720,CEERS,F277W,1.066,7.97,1.348,-21.85,-21.47,2,15.12,2.058
EGS31720,CEERS,F356W,1.066,7.97,1.725,-21.97,-21.47,2,15.685,1.962
EGS31720,CEERS,F410M,1.066,7.97,1.981,-21.85,-21.47,2,14.557,1.753
EGS31720,CEERS,F444W,1.066,7.97,2.14,-21.79,-21.47,2,15.013,1.873
JADES131726,JADES,F182M,1.37,8.93,0.778,-22.87,-22.95,3,18.255,2.183
JADES131726,JADES,F210M,1.37,8.93,0.883,-23.13,-22.95,3,19.253,2.269
JADES131726,JADES,F444W,1.37,8.93,1.865,-23.68,-22.95,3,22.576,2.172
JADES156224,JADES,F182M,1.52,9.31,0.732,-22.64,-22.74,2,13.252,1.953
JADES156224,JADES,F210M,1.52,9.31,0.831,-22.77,-22.74,2,12.997,1.75
JADES156224,JADES,F444W,1.52,9.31,1.754,-23.58,-22.74,2,17.038,1.571
JADES158887,JADES,F090W,1.08,8.02,0.433,-20.87,-22.2,3,10.75,2.325
JADES158887,JADES,F115W,1.08,8.02,0.555,-21.52,-22.2,3,12.129,2.575
JADES158887,JADES,F150W,1.08,8.02,0.722,-22.02,-22.2,3,13.22,1.785
JADES158887,JADES,F200W,1.08,8.02,0.957,-22.45,-22.2,3,14.304,1.558
JADES158887,JADES,F277W,1.08,8.02,1.339,-22.85,-22.2,3,16.129,1.602
JADES158887,JADES,F335M,1.08,8.02,1.618,-23.05,-22.2,3,16.338,1.576
JADES158887,JADES,F356W,1.08,8.02,1.713,-23.06,-22.2,3,17.212,1.576
JADES158887,JADES,F410M,1.08,8.02,1.967,-23.0,-22.2,3,16.913,1.48
JADES158887,JADES,F444W,1.08,8.02,2.126,-22.94,-22.2,3,16.699,1.465
JADES158906,JADES,F090W,1.92,10.11,0.309,-20.92,-21.78,2,9.736,2.259
JADES158906,JADES,F115W,1.92,10.11,0.395,-21.47,-21.78,2,10.185,2.36
JADES158906,JADES,F150W,1.92,10.11,0.514,-21.67,-21.78,2,13.053,2.531
JADES158906,JADES,F200W,1.92,10.11,0.682,-21.76,-21.78,2,11.524,2.436
JADES158906,JADES,F277W,1.92,10.11,0.954,-21.79,-21.78,2,11.903,2.392
JADES158906,JADES,F356W,1.92,10.11,1.22,-21.84,-21.78,2,11.897,2.346
JADES158906,JADES,F410M,1.92,10.11,1.401,-21.85,-21.78,2,12.264,2.478
JADES158906,JADES,F444W,1.92,10.11,1.514,-21.88,-21.78,2,12.992,2.345
JADES159476,JADES,F115W,1.08,8.02,0.555,-21.56,-22.2,4,15.003,2.978
JADES159476,JADES,F150W,1.08,8.02,0.722,-22.04,-22.2,4,16.025,2.735
JADES159476,JADES,F200W,1.08,8.02,0.957,-22.42,-22.2,4,16.119,2.517
JADES159476,JADES,F277W,1.08,8.02,1.339,-22.82,-22.2,4,21.413,2.316
JADES159476,JADES,F356W,1.08,8.02,1.713,-23.03,-22.2,4,22.16,2.261
JADES159476,JADES,F410M,1.08,8.02,1.967,-22.98,-22.2,4,23.444,2.24
JADES159476,JADES,F444W,1.08,8.02,2.126,-22.91,-22.2,4,22.187,2.136
JADES160443,JADES,F150W,1.97,10.19,0.505,-22.48,-23.65,2,,3.967
JADES160443,JADES,F200W,1.97,10.19,0.67,-23.24,-23.65,2,20.045,2.934
JADES160443,JADES,F277W,1.97,10.19,0.938,-23.93,-23.65,2,24.31,2.31
JADES160443,JADES,F356W,1.97,10.19,1.2,-24.33,-23.65,2,22.416,2.087
JADES160443,JADES,F410M,1.97,10.19,1.378,-24.45,-23.65,2,23.925,1.873
JADES160443,JADES,F444W,1.97,10.19,1.489,-24.56,-23.65,2,23.071,2.044
JADES164258,JADES,F150W,2.01,10.25,0.499,-22.45,-23.44,3,17.927,3.955
JADES164258,JADES,F200W,2.01,10.25,0.661,-23.15,-23.44,3,22.191,3.742
JADES164258,JADES,F277W,2.01,10.25,0.926,-23.62,-23.44,3,22.992,1.973
JADES164258,JADES,F335M,2.01,10.25,1.118,-24.0,-23.44,3,23.069,1.587
JADES164258,JADES,F356W,2.01,10.25,1.184,-24.1,-23.44,3,24.956,1.66
JADES168076,JADES,F090W,1.1,8.09,0.429,-20.8,-22.31,3,12.766,2.245
JADES168076,JADES,F115W,1.1,8.09,0.55,-21.56,-22.31,3,17.509,2.105
JADES168076,JADES,F150W,1.1,8.09,0.715,-22.11,-22.31,3,16.439,2.074
JADES168076,JADES,F200W,1.1,8.09,0.948,-22.56,-22.31,3,17.841,1.952
JADES168076,JADES,F277W,1.1,8.09,1.327,-23.0,-22.31,3,20.938,1.843
JADES168076,JADES,F356W,1.1,8.09,1.697,-23.21,-22.31,3,22.306,2.075
JADES168076,JADES,F410M,1.1,8.09,1.949,-23.17,-22.31,3,22.242,2.095
JADES168076,JADES,F444W,1.1,8.09,2.105,-23.11,-22.31,3,22.138,2.066
JADES169951,JADES,F090W,1.09,8.06,0.431,-20.8,-21.4,2,11.04,2.186
JADES169951,JADES,F115W,1.09,8.06,0.552,-21.11,-21.4,2,12.439,2.278
JADES169951,JADES,F150W,1.09,8.06,0.718,-21.34,-21.4,2,12.545,2.188
JADES169951,JADES,F200W,1.09,8.06,0.952,-21.46,-21.4,2,13.446,2.145
JADES169951,JADES,F277W,1.09,8.06,1.333,-21.59,-21.4,2,13.509,2.27
JADES169951,JADES,F356W,1.09,8.06,1.705,-21.67,-21.4,2,14.103,2.006
JADES169951,JADES,F410M,1.09,8.06,1.958,-21.58,-21.4,2,13.141,1.918
JADES169951,JADES,F444W,1.09,8.06,2.115,-21.48,-21.4,2,13.13,1.972
JADES188157,JADES,F090W,1.1,8.09,0.429,-22.12,-23.35,2,14.622,3.059
JADES188157,JADES,F115W,1.1,8.09,0.55,-22.75,-23.35,2,16.529,2.884
JADES188157,JADES,F150W,1.1,8.09,0.715,-23.19,-23.35,2,17.315,2.638
JADES188157,JADES,F182M,1.1,8.09,0.879,-23.46,-23.35,2,18.3,2.482
JADES188157,JADES,F200W,1.1,8.09,0.948,-23.58,-23.35,2,19.224,2.562
JADES188157,JADES,F210M,1.1,8.09,0.997,-23.69,-23.35,2,20.989,2.278
JADES188157,JADES,F277W,1.1,8.09,1.327,-24.0,-23.35,2,21.852,2.269
JADES188157,JADES,F356W,1.1,8.09,1.697,-24.15,-23.35,2,23.065,2.414
JADES188157,JADES,F410M,1.1,8.09,1.949,-24.12,-23.35,2,22.271,2.317
JADES188157,JADES,F444W,1.1,8.09,2.105,-24.06,-23.35,2,24.199,2.23
JADES188429,JADES,F200W,1.69,9.69,0.74,-22.62,-22.65,2,15.308,2.858
JADES188429,JADES,F210M,1.69,9.69,0.778,-22.62,-22.65,2,,2.465
JADES188429,JADES,F277W,1.69,9.69,1.036,-23.19,-22.65,2,16.155,2.106
JADES188429,JADES,F335M,1.69,9.69,1.251,-23.42,-22.65,2,17.263,1.99
JADES188429,JADES,F356W,1.69,9.69,1.324,-23.53,-22.65,2,17.809,1.998
JADES188429,JADES,F410M,1.69,9.69,1.521,-23.69,-22.65,2,19.293,1.984
JADES188429,JADES,F444W,1.69,9.69,1.644,-23.82,-22.65,2,21.137,1.982
