Galaxy,Subsample,Filter,z,t_L (Gyr),λ rf (μm),M rf,M F814W,N arms,R_25 (kpc),N_c,C/T,C/T_F814W,r_c/h,f_cs(0.2)
g1,COSMOS,F814W,0.376,4.08,0.586,-21.0,-21.44,2,14.871,20,0.058,0.046,2.27,0.2
g2,COSMOS,F814W,0.367,4.01,0.59,-21.32,-22.13,4,9.448,30,0.117,0.094,2.5,0.33
g4,COSMOS,F814W,0.381,4.13,0.584,-21.86,-22.46,4,16.122,20,0.026,0.021,1.65,0.7
g5,COSMOS,F814W,0.376,4.09,0.586,-20.59,-20.95,2,9.071,15,0.078,0.062,2.29,0.2
g7,COSMOS,F814W,0.31,3.51,0.615,-21.48,-22.28,2,14.334,6,0.006,0.005,0.85,0.17
g8,COSMOS,F814W,0.268,3.12,0.636,-21.41,-21.91,2,14.953,27,0.026,0.022,1.25,0.89
g9,COSMOS,F814W,0.93,7.42,0.418,-22.35,-23.07,3,24.545,10,0.048,0.03,1.75,0.6
g11,COSMOS,F814W,0.31,3.51,0.615,-21.2,-21.68,2,15.457,37,0.081,0.067,2.35,0.27
g12,COSMOS,F814W,0.249,2.93,0.645,-21.86,-22.59,2,14.006,46,0.039,0.033,1.63,0.54
g13,COSMOS,F814W,0.274,3.17,0.633,-20.37,-20.69,3,8.831,18,0.046,0.039,2.12,0.28
g14,COSMOS,F814W,0.897,7.28,0.425,-22.2,-22.82,3,25.647,16,0.083,0.053,1.87,0.44
g15,COSMOS,F814W,0.982,7.64,0.407,-21.15,-21.62,2,13.287,2,0.015,0.009,1.92,0.5
g16,COSMOS,F814W,0.28,3.23,0.63,-20.75,-21.3,2,12.797,19,0.037,0.031,1.55,0.42
g17,COSMOS,F814W,0.316,3.56,0.612,-21.85,-22.53,2,15.713,28,0.053,0.043,1.67,0.5
g18,COSMOS,F814W,0.69,6.25,0.477,-22.39,-23.02,2,22.743,32,0.083,0.057,1.93,0.31
g19,COSMOS,F814W,0.352,3.88,0.596,-22.3,-22.99,2,22.388,31,0.039,0.032,1.82,0.77
g20,COSMOS,F814W,0.303,3.44,0.619,-20.99,-21.43,5,15.353,18,0.047,0.039,2.51,0.44
g21,COSMOS,F814W,0.844,7.04,0.437,-22.34,-22.96,2,21.688,15,0.063,0.041,1.71,0.13
g22,COSMOS,F814W,0.233,2.77,0.654,-22.35,-22.89,6,19.872,40,0.032,0.028,2.36,0.65
g23,COSMOS,F814W,0.687,6.23,0.478,-21.43,-21.96,2,18.157,7,0.069,0.048,1.8,0.29
g26,COSMOS,F814W,0.2,2.43,0.672,-21.98,-22.28,2,16.377,62,0.07,0.062,1.8,0.55
g27,COSMOS,F814W,0.369,4.03,0.589,-21.38,-22.18,2,12.017,14,0.029,0.023,1.9,0.14
g29,COSMOS,F814W,0.801,6.83,0.448,-21.96,-22.59,3,20.226,18,0.068,0.045,2.11,0.56
g31,COSMOS,F814W,0.232,2.76,0.654,-20.98,-21.44,2,8.698,29,0.042,0.036,1.83,0.31
g32,COSMOS,F814W,0.231,2.75,0.655,-22.2,-22.77,4,14.032,11,0.015,0.013,2.82,0.18
g35,COSMOS,F814W,0.491,4.98,0.541,-21.98,-22.36,2,17.972,31,0.105,0.079,2.3,0.48
g36,COSMOS,F814W,0.318,3.58,0.612,-22.32,-22.95,2,19.957,5,0.004,0.003,1.96,0.6
g37,COSMOS,F814W,0.299,3.41,0.62,-19.57,-19.94,2,9.626,0,0.0,0.0,,
g38,COSMOS,F814W,0.371,4.04,0.588,-20.86,-21.24,2,10.839,32,0.094,0.075,2.26,0.31
g39,COSMOS,F814W,0.223,2.67,0.659,-21.15,-21.6,2,11.714,14,0.023,0.02,2.15,0.57
g43,COSMOS,F814W,0.424,4.47,0.566,-21.94,-22.72,3,16.244,25,0.036,0.028,1.72,0.24
g44,COSMOS,F814W,0.312,3.53,0.614,-22.67,-23.43,3,25.716,19,0.016,0.013,1.29,0.79
g46,COSMOS,F814W,0.228,2.72,0.656,-21.24,-21.57,3,18.042,28,0.043,0.037,2.09,0.25
g47,COSMOS,F814W,0.314,3.55,0.613,-21.54,-22.08,2,14.459,26,0.037,0.031,2.08,0.42
g49,COSMOS,F814W,0.279,3.22,0.63,-21.25,-21.71,3,11.3,40,0.062,0.052,2.28,0.45
g50,COSMOS,F814W,0.733,6.48,0.465,-21.83,-22.58,4,18.505,12,0.06,0.04,2.5,0.25
g51,COSMOS,F814W,0.462,4.76,0.551,-20.92,-21.28,2,13.467,9,0.04,0.03,1.98,0.44
g53,COSMOS,F814W,0.172,2.13,0.688,-21.88,-22.4,5,18.051,24,0.015,0.014,1.18,0.88
g56,COSMOS,F814W,0.14,1.78,0.707,-20.55,-21.04,2,8.999,18,0.02,0.018,1.16,0.5
g57,COSMOS,F814W,0.358,3.93,0.594,-22.02,-22.6,5,18.907,28,0.039,0.031,3.13,0.46
g59,COSMOS,F814W,0.269,3.13,0.635,-21.39,-21.8,2,15.864,36,0.044,0.037,1.09,0.92
g60,COSMOS,F814W,0.247,2.91,0.646,-21.39,-21.68,3,15.901,36,0.046,0.039,2.12,0.42
g62,COSMOS,F814W,0.517,5.16,0.531,-21.47,-21.92,3,14.981,14,0.055,0.041,2.21,0.21
g63,COSMOS,F814W,0.683,6.2,0.479,-22.91,-23.44,2,23.073,18,0.064,0.044,1.4,0.61
g64,COSMOS,F814W,0.18,2.22,0.683,-20.64,-21.09,2,10.707,14,0.019,0.017,1.83,0.79
g65,COSMOS,F814W,0.84,7.02,0.438,-22.46,-23.29,3,23.317,9,0.026,0.017,1.99,0.89
g66,COSMOS,F814W,0.343,3.8,0.6,-21.29,-21.75,4,21.071,38,0.08,0.065,1.9,0.47
g68,COSMOS,F814W,0.347,3.83,0.598,-20.62,-21.16,2,12.994,0,0.0,0.0,,
g69,COSMOS,F814W,0.725,6.44,0.467,-22.0,-22.79,4,22.296,4,0.009,0.006,3.37,1.0
g71,COSMOS,F814W,0.607,5.75,0.501,-22.22,-22.84,2,18.154,8,0.028,0.02,2.22,0.62
g73,COSMOS,F814W,0.85,7.07,0.436,-22.2,-23.33,2,18.825,21,0.068,0.044,1.98,0.43
g74,COSMOS,F814W,0.94,7.47,0.416,-22.68,-23.37,3,27.769,12,0.052,0.032,1.91,0.92
g75,COSMOS,F814W,0.358,3.93,0.594,-21.27,-21.8,2,14.194,42,0.111,0.089,2.08,0.55
g76,COSMOS,F814W,0.221,2.65,0.66,-20.72,-21.08,5,14.736,5,0.006,0.005,1.6,0.4
g77,COSMOS,F814W,0.376,4.08,0.586,-19.46,-20.03,2,9.035,0,0.0,0.0,,
g79,COSMOS,F814W,0.345,3.82,0.599,-21.79,-22.52,2,17.463,18,0.02,0.016,1.38,0.44
g81,COSMOS,F814W,0.99,7.68,0.405,-22.61,-23.57,2,21.956,20,0.12,0.074,1.48,0.6
g82,COSMOS,F814W,0.444,4.63,0.558,-21.6,-22.29,2,20.768,2,0.003,0.002,1.94,0.5
g84,COSMOS,F814W,0.522,5.2,0.53,-20.56,-21.24,2,10.534,1,0.007,0.005,1.9,1.0
g85,COSMOS,F814W,0.387,4.18,0.581,-21.15,-21.61,4,13.212,17,0.041,0.033,2.16,0.47
g87,COSMOS,F814W,0.431,4.53,0.563,-22.3,-23.02,2,19.314,18,0.029,0.023,1.99,0.61
g89,COSMOS,F814W,0.843,7.04,0.437,-21.91,-22.37,2,21.957,11,0.055,0.036,1.57,0.55
g93,COSMOS,F814W,0.521,5.19,0.53,-21.44,-21.9,2,16.183,17,0.056,0.042,2.93,0.41
g95,COSMOS,F814W,0.322,3.62,0.61,-22.45,-23.03,3,19.646,51,0.05,0.041,2.17,0.65
g96,COSMOS,F814W,0.247,2.91,0.646,-21.56,-22.22,3,14.888,40,0.046,0.04,2.18,0.5
g98,COSMOS,F814W,0.227,2.71,0.657,-20.45,-20.69,3,12.624,19,0.044,0.038,2.24,0.53
g99,COSMOS,F814W,1.017,7.78,0.4,-21.89,-22.43,2,17.529,7,0.052,0.031,2.28,0.57
g100,COSMOS,F814W,0.169,2.1,0.69,-19.94,-20.17,2,9.095,28,0.082,0.074,1.44,0.71
g102,COSMOS,F814W,0.504,5.07,0.536,-21.33,-21.92,2,13.873,4,0.01,0.007,1.28,0.5
g103,COSMOS,F814W,0.266,3.1,0.637,-22.24,-22.69,3,20.669,34,0.051,0.043,1.92,0.5
g104,COSMOS,F814W,0.23,2.74,0.655,-21.27,-21.41,3,11.348,25,0.045,0.039,1.96,0.44
g107,COSMOS,F814W,0.227,2.71,0.657,-20.68,-21.08,4,8.284,45,0.067,0.058,2.89,0.2
g108,COSMOS,F814W,0.317,3.57,0.612,-21.62,-22.36,2,18.811,2,0.003,0.002,2.5,1.0
g111,COSMOS,F814W,0.762,6.63,0.457,-22.28,-22.86,2,17.766,31,0.158,0.106,2.01,0.32
g112,COSMOS,F814W,0.431,4.53,0.563,-21.82,-22.31,3,21.121,30,0.127,0.098,2.52,0.17
g113,COSMOS,F814W,0.407,4.34,0.573,-21.19,-21.48,1,18.562,25,0.106,0.083,1.84,0.28
g114,COSMOS,F814W,0.381,4.13,0.584,-21.24,-21.69,2,15.164,21,0.07,0.055,1.99,0.48
g116,COSMOS,F814W,0.335,3.73,0.604,-21.78,-22.69,2,14.303,27,0.034,0.028,1.29,0.41
g118,COSMOS,F814W,0.23,2.74,0.655,-21.66,-22.1,4,12.729,48,0.037,0.032,1.61,0.58
g119,COSMOS,F814W,0.494,5.0,0.54,-21.99,-22.47,2,17.696,20,0.082,0.062,1.92,0.4
g120,COSMOS,F814W,0.917,7.37,0.42,-21.65,-22.27,3,14.785,6,0.038,0.024,2.05,0.5
g121,COSMOS,F814W,0.53,5.25,0.527,-21.58,-22.09,4,17.838,12,0.034,0.025,1.91,0.25
g123,COSMOS,F814W,0.103,1.34,0.731,-21.94,-22.1,2,12.65,33,0.014,0.013,1.25,0.52
g124,COSMOS,F814W,0.313,3.54,0.614,-21.32,-21.81,2,12.352,19,0.04,0.033,1.63,0.26
g125,COSMOS,F814W,0.114,1.47,0.724,-19.64,-19.79,4,6.311,30,0.026,0.024,2.05,0.37
g128,COSMOS,F814W,0.839,7.02,0.438,-22.85,-23.76,2,24.314,21,0.081,0.053,1.42,0.76
g130,COSMOS,F814W,0.316,3.56,0.612,-20.95,-21.49,2,10.822,30,0.072,0.059,2.01,0.3
g131,COSMOS,F814W,0.342,3.79,0.601,-19.89,-20.23,2,9.487,3,0.01,0.008,2.95,0.33
g132,COSMOS,F814W,0.11,1.42,0.726,-19.92,-20.21,2,8.086,25,0.027,0.025,1.63,0.4
g134,COSMOS,F814W,0.408,4.35,0.572,-21.18,-21.6,3,16.636,23,0.089,0.069,2.27,0.52
g135,COSMOS,F814W,0.666,6.11,0.484,-21.42,-21.84,2,18.322,11,0.056,0.039,1.65,0.55
g136,COSMOS,F814W,0.571,5.52,0.513,-21.46,-22.04,2,12.234,7,0.02,0.014,2.5,0.14
g137,COSMOS,F814W,0.53,5.25,0.527,-22.88,-23.69,3,29.124,6,0.009,0.006,2.23,0.67
g138,COSMOS,F814W,0.466,4.79,0.55,-22.02,-22.75,2,20.211,5,0.014,0.01,2.0,0.6
g139,COSMOS,F814W,0.356,3.92,0.594,-21.58,-22.12,3,14.314,33,0.058,0.047,2.43,0.42
g141,COSMOS,F814W,0.734,6.49,0.465,-21.14,-21.74,2,13.528,6,0.058,0.04,2.41,0.33
g143,COSMOS,F814W,0.371,4.04,0.588,-22.13,-22.91,2,16.919,33,0.049,0.039,0.82,0.85
g144,COSMOS,F814W,0.708,6.35,0.472,-22.22,-22.97,2,17.835,20,0.055,0.038,2.67,0.3
g145,COSMOS,F814W,0.383,4.14,0.583,-22.02,-22.62,3,18.257,27,0.047,0.038,2.33,0.3
g146,COSMOS,F814W,1.008,7.75,0.401,-21.49,-21.96,2,17.893,1,0.013,0.008,1.35,1.0
g147,COSMOS,F814W,0.118,1.52,0.721,-21.63,-21.81,2,13.159,45,0.022,0.02,0.94,0.38
g148,COSMOS,F814W,0.69,6.25,0.477,-22.42,-23.26,2,20.024,9,0.019,0.013,1.55,0.67
g152,COSMOS,F814W,0.369,4.03,0.589,-22.17,-22.98,2,18.37,35,0.062,0.05,1.76,0.71
g153,COSMOS,F814W,0.267,3.11,0.636,-21.71,-22.29,2,20.166,22,0.032,0.027,1.29,0.95
g154,COSMOS,F814W,0.599,5.7,0.504,-21.58,-22.37,2,15.298,4,0.027,0.019,2.52,0.5
g156,COSMOS,F814W,0.186,2.28,0.68,-21.9,-22.42,2,19.354,17,0.016,0.014,0.96,0.65
g157,COSMOS,F814W,0.373,4.06,0.587,-21.27,-22.15,2,14.488,18,0.07,0.056,2.46,0.22
g160,COSMOS,F814W,0.276,3.19,0.632,-21.4,-21.76,2,18.558,4,0.011,0.009,3.18,0.25
g161,COSMOS,F814W,0.363,3.98,0.591,-21.52,-22.01,2,13.308,34,0.059,0.048,1.9,0.47
g163,COSMOS,F814W,0.478,4.88,0.545,-22.7,-23.51,2,22.844,16,0.025,0.019,1.36,0.5
g164,COSMOS,F814W,0.313,3.54,0.614,-21.71,-22.3,4,16.955,18,0.033,0.027,1.84,0.5
g166,COSMOS,F814W,0.271,3.15,0.634,-20.81,-21.08,4,16.013,27,0.043,0.036,1.32,0.67
g167,COSMOS,F814W,0.48,4.9,0.545,-21.62,-22.26,3,18.07,22,0.042,0.032,2.44,0.32
g168,COSMOS,F814W,0.703,6.32,0.473,-22.19,-23.08,2,19.955,5,0.016,0.011,1.48,0.8
g170,COSMOS,F814W,0.705,6.33,0.473,-22.77,-23.38,4,24.259,38,0.124,0.085,2.07,0.55
g171,COSMOS,F814W,0.708,6.35,0.472,-22.6,-23.33,4,23.91,26,0.064,0.044,1.86,0.38
g172,COSMOS,F814W,0.102,1.33,0.731,-20.04,-20.2,3,8.664,32,0.062,0.058,1.99,0.53
g173,COSMOS,F814W,0.516,5.15,0.532,-21.99,-22.64,2,12.118,25,0.046,0.034,2.44,0.24
g174,COSMOS,F814W,0.774,6.7,0.454,-21.81,-22.36,2,17.611,8,0.03,0.02,2.59,0.38
g175,COSMOS,F814W,0.694,6.27,0.476,-22.03,-22.79,3,20.47,18,0.078,0.054,1.73,0.56
g177,COSMOS,F814W,0.357,3.92,0.594,-22.29,-22.93,4,20.367,22,0.032,0.026,1.67,0.5
g178,COSMOS,F814W,0.446,4.64,0.557,-21.0,-21.3,2,16.048,7,0.036,0.028,1.75,0.71
g179,COSMOS,F814W,0.341,3.79,0.601,-22.62,-23.41,2,24.765,25,0.033,0.027,1.2,0.16
g180,COSMOS,F814W,0.38,4.12,0.584,-21.93,-22.66,2,16.801,33,0.036,0.029,1.1,0.76
g181,COSMOS,F814W,0.54,5.32,0.523,-21.95,-22.43,3,17.492,14,0.044,0.033,1.33,0.79
g182,COSMOS,F814W,0.842,7.03,0.438,-22.06,-23.1,2,21.799,17,0.114,0.074,2.87,0.47
EGS10221,CEERS,F115W,1.228,8.52,0.518,-19.75,-20.14,2,,2,0.069,0.065,2.91,0.0
EGS10221,CEERS,F150W,1.228,8.52,0.674,-20.02,-20.14,2,9.557,2,0.067,0.065,2.55,0.0
EGS10221,CEERS,F200W,1.228,8.52,0.893,-20.16,-20.14,2,10.156,2,0.064,0.065,2.08,0.0
EGS13670,CEERS,F115W,1.416,9.06,0.478,-22.5,-22.98,3,14.651,18,0.063,0.06,2.52,0.33
EGS13670,CEERS,F150W,1.416,9.06,0.621,-22.82,-22.98,3,14.232,18,0.062,0.06,2.69,0.33
EGS13670,CEERS,F200W,1.416,9.06,0.824,-22.99,-22.98,3,15.589,18,0.06,0.06,3.28,0.22
EGS13670,CEERS,F277W,1.416,9.06,1.153,-23.29,-22.98,3,,15,0.046,0.06,4.28,0.2
EGS13670,CEERS,F356W,1.416,9.06,1.475,-23.37,-22.98,3,17.228,15,0.042,0.06,4.06,0.2
EGS13670,CEERS,F410M,1.416,9.06,1.694,-23.49,-22.98,3,15.35,15,0.042,0.06,4.15,0.13
EGS13670,CEERS,F444W,1.416,9.06,1.83,-23.53,-22.98,3,18.382,14,0.04,0.06,4.17,0.21
EGS14565,CEERS,F115W,1.661,9.63,0.434,-21.7,-22.45,3,16.663,7,0.044,0.035,1.0,1.0
EGS14565,CEERS,F150W,1.661,9.63,0.564,-22.1,-22.45,3,,7,0.037,0.035,1.61,0.57
EGS14565,CEERS,F200W,1.661,9.63,0.748,-22.4,-22.45,3,17.49,7,0.037,0.035,1.79,0.57
EGS14565,CEERS,F277W,1.661,9.63,1.047,-22.62,-22.45,3,22.841,7,0.024,0.035,1.83,0.71
EGS14565,CEERS,F410M,1.661,9.63,1.538,-22.87,-22.45,3,26.084,7,0.017,0.035,2.04,0.71
EGS14565,CEERS,F444W,1.661,9.63,1.661,-22.94,-22.45,3,28.484,7,0.019,0.035,1.99,0.71
EGS21378,CEERS,F150W,3.301,11.57,0.349,-20.68,,1,,1,0.012,0.006,1.34,1.0
EGS21378,CEERS,F200W,3.301,11.57,0.463,-22.51,,1,,1,0.007,0.006,1.06,1.0
EGS21378,CEERS,F277W,3.301,11.57,0.648,-23.28,,1,,1,0.008,0.006,1.34,1.0
EGS21891,CEERS,F115W,1.126,8.18,0.543,-21.63,-21.79,5,15.744,4,0.012,0.012,1.41,0.75
EGS21891,CEERS,F150W,1.126,8.18,0.706,-21.77,-21.79,5,15.926,4,0.012,0.012,1.42,0.75
EGS21891,CEERS,F200W,1.126,8.18,0.936,-21.8,-21.79,5,16.162,4,0.011,0.012,1.47,0.75
EGS21891,CEERS,F277W,1.126,8.18,1.31,-21.92,-21.79,5,17.282,4,0.005,0.012,1.55,0.75
EGS21891,CEERS,F356W,1.126,8.18,1.676,-21.9,-21.79,5,16.591,4,0.005,0.012,1.37,0.75
EGS21891,CEERS,F410M,1.126,8.18,1.925,-21.87,-21.79,5,16.394,3,0.005,0.012,1.64,0.67
EGS21891,CEERS,F444W,1.126,8.18,2.08,-21.82,-21.79,5,16.84,3,0.004,0.012,1.54,1.0
EGS22339,CEERS,F115W,1.543,9.37,0.454,-22.66,-23.33,2,20.54,18,0.054,0.038,2.05,0.56
EGS22339,CEERS,F150W,1.543,9.37,0.59,-22.99,-23.33,2,19.583,17,0.053,0.038,2.78,0.24
EGS22339,CEERS,F200W,1.543,9.37,0.782,-23.3,-23.33,2,20.879,17,0.039,0.038,2.99,0.24
EGS22339,CEERS,F277W,1.543,9.37,1.096,-23.65,-23.33,2,23.049,16,0.027,0.038,2.53,0.38
EGS22339,CEERS,F356W,1.543,9.37,1.401,-23.81,-23.33,2,22.73,16,0.026,0.038,2.66,0.25
EGS22339,CEERS,F410M,1.543,9.37,1.609,-23.92,-23.33,2,21.599,15,0.023,0.038,2.8,0.33
EGS22339,CEERS,F444W,1.543,9.37,1.738,-23.92,-23.33,2,24.077,15,0.027,0.038,2.75,0.27
EGS22922,CEERS,F115W,1.905,10.08,0.397,-22.46,-23.24,2,21.381,11,0.081,0.057,1.95,0.73
EGS22922,CEERS,F150W,1.905,10.08,0.517,-22.83,-23.24,2,32.84,11,0.067,0.057,1.82,0.82
EGS22922,CEERS,F200W,1.905,10.08,0.685,-23.13,-23.24,2,26.431,11,0.065,0.057,2.32,0.55
EGS22922,CEERS,F277W,1.905,10.08,0.959,-23.32,-23.24,2,26.706,11,0.046,0.057,2.17,0.73
EGS22922,CEERS,F356W,1.905,10.08,1.226,-23.45,-23.24,2,28.321,11,0.04,0.057,2.17,0.73
EGS22922,CEERS,F410M,1.905,10.08,1.409,-23.5,-23.24,2,28.621,10,0.038,0.057,2.16,0.7
EGS22922,CEERS,F444W,1.905,10.08,1.522,-23.58,-23.24,2,26.645,10,0.04,0.057,2.4,0.6
EGS23205,CEERS,F200W,2.136,10.44,0.635,-23.45,-23.75,2,24.042,14,0.043,0.029,1.92,0.43
