Galaxy,Filter,μ (deg),μ std,Δμ (deg),Δμ std,l_ψ (deg),l_ψ std,S/T,w (kpc),w std,r_end (kpc),r_end err,h_s (kpc),h_s std,W_i,W_i std,S,S std,A_sp
EGS27976,F200W,20.0,7.9,-30.5,21.7,168.0,40.6,0.373,2.041,0.316,11.529,0.0,14.815,6.522,2.91,4.7,-0.16,0.16,0.792
EGS27976,F277W,15.0,8.2,-37.3,24.2,136.0,34.8,0.313,1.932,0.2,10.892,0.0,15.384,8.123,1.79,2.91,-0.2,0.08,0.84
EGS27976,F356W,16.6,8.9,-33.8,26.2,144.8,29.1,0.329,1.845,0.168,12.743,0.0,14.487,7.804,2.86,5.01,-0.15,0.13,0.831
EGS27976,F410M,9.8,8.7,-25.6,25.0,122.2,29.8,0.35,2.11,0.223,10.839,0.0,7.792,3.322,2.58,4.41,-0.22,0.1,0.823
EGS27976,F444W,12.8,10.0,-33.0,29.9,139.2,28.5,0.331,1.919,0.245,12.954,0.0,12.225,5.785,2.86,5.2,-0.19,0.13,0.836
EGS30172,F150W,20.3,4.6,-24.3,60.3,76.9,17.4,0.22,0.628,0.082,3.465,0.077,1.275,0.441,1.0,0.0,0.0,0.0,0.973
EGS30172,F200W,26.6,8.6,-78.5,16.2,70.0,15.6,0.184,0.627,0.0,4.222,0.11,1.079,0.294,1.0,0.0,0.0,0.0,0.964
EGS30172,F277W,26.7,7.4,-74.0,41.2,80.7,2.3,0.221,1.037,0.0,3.966,0.086,3.155,2.155,1.0,0.0,0.0,0.0,0.625
EGS30836,F115W,18.7,5.3,-10.5,16.0,222.5,42.8,0.366,1.815,0.314,9.324,0.341,3.471,0.634,4.02,1.82,0.09,0.34,0.634
EGS30836,F150W,19.7,3.7,-1.7,14.2,222.1,38.1,0.354,1.873,0.295,11.782,0.0,3.347,1.207,4.06,2.72,-0.11,0.16,0.601
EGS30836,F200W,20.8,4.3,-2.2,15.0,224.1,44.0,0.324,2.002,0.304,11.612,0.0,2.897,0.901,3.88,2.25,-0.23,0.17,0.565
EGS30836,F277W,21.7,7.2,-2.1,17.2,227.4,51.2,0.342,2.236,0.404,12.137,0.0,2.579,0.862,3.69,1.89,-0.17,0.23,0.523
EGS30836,F356W,23.5,7.5,-8.8,20.2,240.0,61.0,0.34,2.2,0.401,11.511,0.0,2.759,1.003,3.07,1.26,-0.02,0.28,0.538
EGS30836,F410M,23.6,5.7,-2.0,18.5,235.1,57.3,0.342,2.173,0.441,12.24,0.0,3.327,1.385,2.58,1.4,0.05,0.23,0.548
EGS30836,F444W,22.2,6.0,-1.3,18.5,243.9,63.2,0.303,1.981,0.66,12.879,0.0,2.954,0.753,2.74,1.97,0.2,0.3,0.606
EGS31125,F200W,28.3,0.5,-31.3,2.9,168.0,40.4,0.282,1.963,0.783,9.665,0.0,3.34,0.084,1.35,1.41,-0.11,0.15,0.736
EGS31125,F277W,34.4,3.1,-20.8,3.9,213.4,76.7,0.34,2.134,0.0,10.001,0.382,4.908,1.195,5.63,3.38,-0.45,0.02,0.537
EGS31125,F356W,37.0,0.6,-31.2,1.4,243.4,12.9,0.433,2.068,0.0,9.855,0.0,5.746,0.427,7.38,2.47,-0.5,0.0,0.393
EGS31125,F410M,37.2,1.5,-38.9,6.7,218.7,42.9,0.43,1.59,0.092,9.08,0.0,4.136,0.431,7.11,1.17,-0.47,0.03,0.502
EGS31125,F444W,37.8,1.3,-30.4,6.9,241.0,10.0,0.427,1.495,0.025,10.388,0.186,5.194,0.902,8.79,2.69,-0.5,0.0,0.422
EGS31281,F115W,14.4,9.3,-19.6,14.4,181.0,41.9,0.43,1.42,0.239,9.558,0.158,5.963,6.524,0.77,0.3,0.18,0.24,0.348
EGS31281,F150W,16.7,9.1,-13.6,17.6,205.7,41.7,0.335,1.484,0.367,12.368,3.139,3.547,2.194,0.79,0.3,0.03,0.04,0.381
EGS31281,F200W,18.1,9.2,-17.1,19.4,201.1,41.7,0.284,1.42,0.409,11.399,1.44,3.28,0.772,0.82,0.28,0.06,0.09,0.44
EGS31281,F277W,16.7,7.7,-16.2,18.7,203.5,65.7,0.238,1.742,0.595,11.988,0.0,2.6,1.033,0.8,0.3,0.16,0.23,0.335
EGS31281,F356W,15.1,6.7,-16.0,18.2,197.7,63.9,0.209,1.689,0.573,10.219,0.974,2.442,0.708,0.8,0.29,0.16,0.23,0.367
EGS31281,F410M,14.9,7.6,-16.9,17.1,193.1,58.1,0.202,1.658,0.601,9.358,0.251,2.11,0.722,0.81,0.29,0.15,0.23,0.4
EGS31281,F444W,14.7,6.4,-12.4,15.7,221.0,69.5,0.236,1.618,0.601,11.87,0.0,2.053,0.997,0.85,0.23,0.15,0.23,0.384
EGS31720,F115W,9.5,1.4,17.7,1.4,191.1,10.7,0.362,2.431,0.018,8.484,0.18,14.068,9.797,0.65,0.31,-0.5,0.0,0.503
EGS31720,F150W,11.8,2.1,8.0,7.4,188.8,3.2,0.318,2.381,0.0,7.714,0.247,4.029,0.019,0.69,0.32,-0.49,0.01,0.537
EGS31720,F200W,11.9,2.6,17.2,0.3,186.1,7.3,0.331,2.266,0.0,8.267,0.0,6.463,2.415,0.69,0.32,-0.45,0.05,0.513
EGS31720,F277W,13.0,2.7,3.1,14.3,182.1,15.4,0.34,2.05,0.0,5.991,0.125,3.552,0.294,0.68,0.32,-0.16,0.09,0.513
EGS31720,F356W,12.9,1.7,1.5,15.5,178.0,20.7,0.34,1.96,0.0,6.149,0.131,3.483,0.052,0.69,0.32,-0.34,0.08,0.536
EGS31720,F410M,13.8,2.7,14.8,0.2,190.9,22.9,0.376,1.957,0.0,8.484,0.0,6.992,0.751,0.68,0.32,-0.27,0.05,0.495
EGS31720,F444W,14.7,4.2,4.2,12.6,180.6,20.4,0.363,1.941,0.0,6.64,0.194,5.85,0.586,0.68,0.32,-0.41,0.02,0.556
JADES131726,F182M,17.5,2.2,-9.8,5.0,236.4,48.9,0.296,2.31,0.302,8.325,0.185,10.639,7.911,2.22,0.52,0.03,0.23,0.554
JADES131726,F210M,18.6,4.2,-7.7,11.1,235.7,46.2,0.283,2.18,0.28,8.212,0.165,8.406,5.747,2.03,0.6,0.02,0.24,0.542
JADES131726,F444W,19.6,2.9,1.2,9.2,209.9,28.7,0.298,2.416,0.23,8.589,0.109,7.631,1.55,2.3,0.46,-0.01,0.24,0.51
JADES156224,F182M,13.8,0.0,-8.6,5.0,268.8,30.9,0.348,1.757,0.479,5.839,0.084,2.118,0.541,9.14,4.53,-0.06,0.29,0.679
JADES156224,F210M,14.1,0.5,-12.0,5.7,266.3,21.5,0.352,1.73,0.471,4.861,0.119,2.09,0.328,8.17,3.66,-0.08,0.27,0.681
JADES156224,F444W,16.4,1.7,-13.0,6.2,217.5,50.7,0.294,1.223,0.177,4.036,0.124,2.639,0.205,4.69,1.44,0.36,0.07,0.685
JADES158887,F090W,19.4,3.5,-9.4,12.0,196.8,39.6,0.42,1.678,0.689,9.601,0.779,3.467,1.462,3.21,1.48,-0.02,0.24,0.729
JADES158887,F115W,22.4,4.1,-10.6,11.3,230.5,29.9,0.525,1.87,0.405,8.061,0.0,2.923,0.584,2.62,1.51,-0.28,0.19,0.658
JADES158887,F150W,30.5,6.9,-12.0,26.1,187.6,42.2,0.461,1.323,0.166,6.943,0.0,2.994,0.597,4.54,3.3,-0.22,0.18,0.605
JADES158887,F200W,29.8,6.5,-16.4,31.6,191.7,51.2,0.417,1.266,0.157,6.83,0.0,3.025,1.158,6.95,6.24,-0.06,0.05,0.61
JADES158887,F277W,32.6,8.9,-41.1,27.5,179.2,15.7,0.388,1.728,0.156,9.11,0.379,2.76,1.133,1.88,0.2,0.25,0.21,0.618
JADES158887,F335M,33.4,9.1,-38.7,21.9,176.2,18.2,0.388,1.691,0.122,9.929,0.282,2.713,1.102,1.79,0.45,0.24,0.25,0.608
JADES158887,F356W,32.7,9.1,-37.1,22.2,176.2,19.6,0.391,1.67,0.071,9.86,0.348,2.695,1.135,1.78,0.54,0.21,0.28,0.602
JADES158887,F410M,33.1,9.1,-40.3,21.3,174.5,21.6,0.401,1.618,0.082,9.692,0.28,2.704,1.247,1.76,0.67,0.26,0.37,0.609
JADES158887,F444W,32.8,9.4,-38.5,19.7,175.1,20.2,0.404,1.672,0.14,9.847,0.302,2.692,1.257,1.88,1.14,0.2,0.34,0.599
JADES158906,F090W,8.2,7.3,-2.2,14.8,145.0,11.1,0.55,1.664,0.43,5.2,0.152,8.627,10.822,0.85,0.33,0.25,0.17,0.868
JADES158906,F115W,10.6,0.1,-21.1,9.1,162.2,3.2,0.557,2.459,0.006,5.206,0.0,1.299,0.151,1.73,1.7,0.2,0.34,0.621
JADES158906,F150W,7.1,1.3,-9.3,13.7,170.7,0.4,0.478,2.309,0.113,5.18,0.0,1.813,0.057,1.36,1.28,0.26,0.25,0.64
JADES158906,F200W,6.1,1.5,-7.9,8.6,170.9,7.6,0.507,2.153,0.244,5.453,0.0,1.461,0.199,2.14,1.97,-0.17,0.01,0.584
JADES158906,F277W,10.8,0.0,-9.3,6.5,199.6,12.4,0.552,2.331,0.016,5.479,0.0,1.398,0.444,1.32,1.24,0.21,0.24,0.519
JADES158906,F356W,7.9,0.7,-5.8,3.3,210.3,22.5,0.529,2.281,0.034,5.498,0.0,1.307,0.287,1.21,1.01,0.02,0.13,0.501
JADES158906,F410M,9.5,0.7,-6.2,3.0,211.7,17.3,0.579,2.268,0.141,5.538,0.0,1.466,0.428,1.38,0.93,0.16,0.45,0.476
JADES158906,F444W,8.8,1.5,-1.9,5.5,202.0,14.9,0.53,2.205,0.109,5.575,0.0,1.309,0.175,2.06,1.99,0.14,0.21,0.5
JADES159476,F115W,19.9,8.0,-19.4,27.1,230.9,92.9,0.507,1.707,0.872,11.946,0.604,6.132,4.354,10.22,6.46,0.17,0.27,0.63
JADES159476,F150W,19.8,9.1,-14.7,18.4,231.8,92.2,0.445,1.787,0.939,14.915,0.0,5.777,3.245,10.6,6.15,0.13,0.28,0.62
JADES159476,F200W,16.9,8.9,-13.7,16.4,250.4,105.3,0.416,1.928,0.759,13.709,0.474,4.593,2.356,10.05,5.34,0.18,0.32,0.605
JADES159476,F277W,17.7,13.3,-23.7,21.6,247.7,74.5,0.4,1.86,0.574,12.695,0.48,5.728,4.032,9.24,6.94,0.18,0.25,0.586
JADES159476,F356W,18.9,13.2,-27.2,22.7,242.8,73.4,0.418,1.773,0.495,12.091,0.441,5.745,3.996,8.44,5.95,0.04,0.27,0.567
JADES159476,F410M,17.4,11.9,-20.5,24.5,270.1,110.1,0.401,1.713,0.554,12.543,0.496,4.019,1.314,10.63,6.0,0.28,0.26,0.518
JADES159476,F444W,18.0,13.3,-23.8,26.4,254.4,90.8,0.403,1.657,0.502,12.351,0.455,4.101,1.551,9.82,4.93,0.28,0.3,0.534
JADES160443,F150W,9.1,2.2,-43.8,26.9,186.1,87.6,0.238,2.763,1.04,7.277,0.328,3.079,0.975,4.94,4.91,-0.04,0.5,0.838
JADES160443,F200W,12.2,4.3,-37.0,20.0,191.7,69.6,0.186,2.15,0.121,6.217,0.0,1.403,0.262,5.68,2.42,-0.18,0.07,0.69
JADES160443,F277W,15.6,5.3,-24.1,19.0,208.3,54.3,0.214,2.257,0.051,9.632,0.0,1.671,0.546,4.55,3.57,-0.48,0.02,0.504
JADES160443,F356W,16.4,5.7,-15.7,11.2,218.1,41.5,0.224,1.903,0.205,9.234,0.0,1.716,0.685,5.21,4.09,-0.49,0.01,0.478
JADES160443,F410M,17.4,4.9,-9.3,8.1,225.4,42.2,0.222,1.679,0.21,8.936,0.0,1.621,0.75,5.99,2.78,0.02,0.36,0.476
JADES160443,F444W,17.6,4.2,-11.3,9.0,221.7,39.3,0.22,1.77,0.296,9.202,0.0,1.547,0.63,6.94,3.76,-0.02,0.5,0.478
JADES164258,F150W,14.4,3.0,-5.6,4.3,198.1,24.8,0.378,1.99,0.616,7.804,0.519,4.903,0.922,2.18,3.92,-0.4,0.19,0.639
JADES164258,F200W,17.2,1.4,-4.8,5.6,208.9,21.0,0.233,1.853,0.654,7.997,0.891,3.601,0.286,1.25,1.66,-0.1,0.13,0.695
JADES164258,F277W,14.8,2.9,-3.8,7.9,241.1,36.3,0.267,1.721,0.402,7.819,0.354,2.247,1.077,1.01,0.38,-0.2,0.42,0.669
JADES164258,F335M,13.9,0.6,-1.9,6.2,241.0,25.5,0.224,1.52,0.543,8.493,0.359,1.813,0.217,1.39,0.84,0.04,0.07,0.645
JADES164258,F356W,15.6,2.3,1.4,9.5,270.6,28.2,0.309,1.739,0.0,12.475,0.0,2.725,1.39,1.02,0.55,-0.09,0.27,0.544
JADES168076,F090W,22.1,3.9,-7.0,11.9,153.4,21.3,0.31,0.775,0.236,8.034,0.297,5.075,1.667,6.01,2.75,0.39,0.07,0.75
JADES168076,F115W,23.8,3.4,-0.7,5.7,170.8,14.2,0.263,1.065,0.581,8.157,0.0,3.441,0.731,6.9,6.11,0.19,0.32,0.628
JADES168076,F150W,23.5,4.0,-0.2,3.5,193.9,15.6,0.293,1.233,0.566,8.078,0.0,5.625,2.072,3.87,2.07,0.05,0.22,0.528
JADES168076,F200W,23.5,3.1,3.0,2.7,177.9,7.2,0.256,1.065,0.358,8.006,0.0,3.214,0.649,6.33,5.75,0.16,0.14,0.523
JADES168076,F277W,24.2,6.7,-3.9,13.0,193.1,30.6,0.307,1.85,0.0,9.621,0.0,4.132,3.121,3.22,0.81,0.32,0.32,0.515
JADES168076,F356W,20.0,5.7,2.5,19.3,191.2,27.9,0.306,1.846,0.002,9.519,0.668,3.628,2.765,6.32,6.66,0.28,0.38,0.515
JADES168076,F410M,19.0,6.2,-1.7,21.8,185.7,29.9,0.32,1.645,0.239,9.597,0.0,2.915,1.847,6.08,6.6,0.04,0.34,0.531
JADES168076,F444W,19.6,7.3,0.1,19.3,184.6,31.1,0.307,1.679,0.184,9.608,0.0,2.916,2.057,6.05,6.1,0.09,0.34,0.535
JADES169951,F090W,13.9,6.9,-4.7,3.7,257.4,50.8,0.395,1.632,0.742,9.396,0.401,3.485,0.712,4.16,1.7,-0.23,0.32,0.588
JADES169951,F115W,14.5,6.3,-3.9,1.5,276.7,50.7,0.364,1.683,0.799,8.958,0.198,4.575,1.109,4.8,1.75,-0.28,0.25,0.519
JADES169951,F150W,15.3,7.4,-2.7,3.2,264.0,58.1,0.314,1.522,0.735,8.914,0.146,4.594,0.755,3.31,0.98,-0.11,0.22,0.519
JADES169951,F200W,16.2,6.0,-0.9,4.9,269.4,60.1,0.292,1.623,0.678,9.597,0.215,4.662,1.868,2.91,0.47,-0.01,0.1,0.492
JADES169951,F277W,16.8,6.4,-4.3,3.4,274.2,57.8,0.303,1.602,0.464,9.531,0.363,3.742,1.033,2.33,0.22,0.11,0.06,0.459
JADES169951,F356W,17.4,7.2,-3.4,2.2,267.6,62.8,0.29,1.622,0.404,8.906,0.301,3.63,0.958,2.03,0.53,0.21,0.18,0.475
JADES169951,F410M,17.2,7.1,-3.8,2.2,260.6,61.6,0.3,1.467,0.568,8.435,0.196,3.599,0.939,2.81,0.53,-0.01,0.13,0.506
JADES169951,F444W,18.0,7.5,-3.4,1.8,259.4,60.7,0.316,1.514,0.476,8.453,0.129,3.374,0.753,2.01,0.53,0.22,0.18,0.462
JADES188157,F090W,7.5,3.8,-1.9,1.5,418.0,71.7,0.29,2.007,0.992,8.224,0.443,1.665,0.449,8.45,4.77,0.01,0.31,0.746
JADES188157,F115W,14.0,6.1,-1.5,1.9,431.9,44.2,0.306,2.516,0.0,10.621,0.744,1.38,0.558,7.61,7.52,-0.24,0.23,0.551
JADES188157,F150W,11.4,4.1,-2.3,2.2,436.5,47.3,0.293,2.465,0.0,9.369,0.367,1.419,0.428,7.59,7.6,-0.49,0.02,0.514
JADES188157,F182M,11.8,4.3,-2.8,2.2,428.3,59.8,0.228,1.871,0.365,7.999,0.0,1.289,0.238,4.25,4.17,-0.04,0.37,0.6
JADES188157,F200W,11.6,3.9,-2.2,2.0,442.9,52.7,0.29,2.444,0.0,10.406,0.354,1.439,0.375,9.25,3.3,-0.5,0.0,0.468
JADES188157,F210M,9.9,2.3,-4.0,0.3,472.7,34.5,0.266,1.792,0.227,9.108,0.196,1.297,0.334,3.52,3.19,-0.19,0.04,0.527
JADES188157,F277W,11.0,4.0,-2.4,3.2,441.9,70.3,0.273,2.237,0.0,8.795,0.342,1.306,0.463,6.25,0.03,-0.11,0.16,0.443
JADES188157,F356W,11.7,4.3,-2.7,3.1,458.2,66.6,0.323,2.205,0.008,8.57,0.389,1.295,0.328,4.14,0.01,0.09,0.23,0.388
JADES188157,F410M,10.2,2.7,-0.4,4.7,446.9,66.8,0.344,2.168,0.027,8.171,0.208,1.086,0.279,5.81,0.41,-0.08,0.06,0.361
JADES188157,F444W,7.6,1.3,1.1,4.9,401.6,16.0,0.431,2.227,0.0,8.063,0.0,1.018,0.155,7.35,3.74,-0.31,0.19,0.325
JADES188429,F200W,9.6,1.8,-24.7,9.9,206.5,3.9,0.275,2.052,0.259,4.652,0.0,3.251,1.354,0.84,0.37,0.02,0.24,0.365
JADES188429,F210M,9.7,0.3,-26.7,3.6,202.3,3.2,0.325,2.197,0.335,4.636,0.0,3.381,1.751,1.01,0.3,-0.28,0.23,0.331
JADES188429,F277W,12.1,1.3,-24.1,8.6,209.1,0.8,0.258,2.074,0.118,5.141,0.199,2.23,0.444,0.63,0.23,0.03,0.21,0.324
JADES188429,F335M,10.7,1.2,-17.0,1.7,223.9,17.5,0.237,1.92,0.16,5.011,0.164,1.932,0.673,1.06,0.29,-0.2,0.14,0.345
JADES188429,F356W,12.8,0.8,-20.5,6.6,206.8,0.2,0.263,2.106,0.0,5.953,0.239,1.839,0.523,1.29,0.53,-0.28,0.2,0.32
JADES188429,F410M,12.8,0.7,-19.6,6.4,208.6,2.6,0.245,2.057,0.0,5.969,0.272,1.957,0.635,2.1,1.23,-0.33,0.17,0.346
JADES188429,F444W,13.1,1.0,-19.7,5.4,209.1,0.0,0.239,2.038,0.0,5.893,0.326,1.776,0.533,2.45,1.48,-0.36,0.13,0.353
